,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.005,3.526443,3.131735,0.453840272,0.757333722
1,0.01,3.344994,3.051884,0.458709149,1.131913
2,0.015,3.220025,2.993457,0.461630475,1.110165
3,0.02,3.206392,2.978851,0.462279659,0.701503891
4,0.025,3.356679,3.018127,0.456437007,0.061409015
5,0.03,3.596555,3.096029,0.450918946,-0.563753641
6,0.035,3.815333,3.182696,0.444751703,-0.934760987
7,0.04,3.953611,3.242422,0.44053201,-0.913013407
8,0.045,3.901026,3.25151,0.442804152,-0.505327262
9,0.05,3.733859,3.20769,0.445725478,0.132169956
10,0.055,3.528066,3.131735,0.453840272,0.757333722
11,0.06,3.339151,3.051884,0.458384557,1.130939
12,0.065,3.21191,2.992484,0.461955067,1.110165
13,0.07,3.208664,2.978851,0.462604251,0.701828483
14,0.075,3.359925,3.018127,0.456112415,0.061409015
15,0.08,3.590063,3.094406,0.450594355,-0.564078232
16,0.085,3.818254,3.182047,0.444102519,-0.935085578
17,0.09,3.95069,3.242746,0.440856601,-0.913013407
18,0.095,3.917905,3.251835,0.443128744,-0.505976444
19,0.1,3.734184,3.207365,0.445725478,0.131196182
20,0.105,3.532935,3.132059,0.452541905,0.757658314
21,0.11,3.342072,3.05156,0.459033741,1.131589
22,0.115,3.216454,2.993782,0.461305883,1.110165
23,0.12,3.205093,2.979824,0.462279659,0.702153075
24,0.125,3.35603,3.018451,0.455463231,0.061733606
25,0.13,3.594283,3.096678,0.450594355,-0.563753641
26,0.135,3.817281,3.181722,0.443453335,-0.935085578
27,0.14,3.951014,3.241772,0.440856601,-0.913337998
28,0.145,3.91401,3.251186,0.442804152,-0.505327262
29,0.15,3.719253,3.207041,0.445076294,0.131845365
30,0.155,3.534233,3.131735,0.453191089,0.756359946
31,0.16,3.338826,3.05156,0.458384557,1.131264
32,0.165,3.208664,2.992484,0.461305883,1.11049
33,0.17,3.208988,2.980474,0.462279659,0.701828483
34,0.175,3.359601,3.018776,0.455787823,0.061733606
35,0.18,3.594283,3.095705,0.450594355,-0.563753641
36,0.185,3.817605,3.182372,0.443777927,-0.935410169
37,0.19,3.950365,3.242097,0.440207418,-0.912688817
38,0.195,3.899403,3.250537,0.44247956,-0.505976444
39,0.2,3.731263,3.207365,0.445400886,0.131520773
40,0.205,3.524495,3.13141,0.452866497,0.757333722
41,0.21,3.343695,3.051235,0.458384557,1.130939
42,0.215,3.209962,2.993133,0.460981292,1.109841
43,0.22,3.215156,2.979824,0.461955067,0.702477667
44,0.225,3.353109,3.018127,0.455463231,0.062058198
45,0.23,3.590713,3.096029,0.450594355,-0.56342905
46,0.235,3.820527,3.182372,0.444102519,-0.935734759
47,0.24,3.949716,3.241772,0.439882826,-0.913013407
48,0.245,3.913361,3.249887,0.44247956,-0.505327262
49,0.25,3.727043,3.208015,0.445400886,0.131196182
50,0.255,3.526443,3.13141,0.452541905,0.757333722
51,0.26,3.351161,3.05156,0.458384557,1.131589
52,0.265,3.224244,2.993782,0.460981292,1.110165
53,0.27,3.208339,2.980474,0.461630475,0.701828483
54,0.275,3.358627,3.018127,0.45513864,0.061733606
55,0.28,3.589414,3.096678,0.449945171,-0.56342905
56,0.285,3.815982,3.181398,0.443777927,-0.935085578
57,0.29,3.94225,3.241123,0.440207418,-0.913013407
58,0.295,3.906869,3.25151,0.44247956,-0.505976444
59,0.3,3.734184,3.207365,0.445076294,0.131196182
60,0.305,3.526118,3.132059,0.452541905,0.75700913
61,0.31,3.336554,3.05156,0.457735374,1.130939
62,0.315,3.213533,2.993133,0.460332108,1.110165
63,0.32,3.208988,2.978851,0.461955067,0.702153075
64,0.325,3.362522,3.018451,0.45513864,0.061409015
65,0.33,3.590713,3.096354,0.449620579,-0.56342905
66,0.335,3.822799,3.181398,0.443453335,-0.935410169
67,0.34,3.951663,3.241772,0.439558234,-0.913337998
68,0.345,3.902649,3.250537,0.441830377,-0.505976444
69,0.35,3.730938,3.206392,0.444427111,0.13087159
70,0.355,3.526118,3.131735,0.452217313,0.75700913
71,0.36,3.343046,3.05156,0.458059966,1.130615
72,0.365,3.217428,2.993133,0.4606567,1.109841
73,0.37,3.203146,2.979824,0.461305883,0.702477667
74,0.375,3.355381,3.018451,0.454814048,0.062058198
75,0.38,3.583896,3.095705,0.449620579,-0.562779868
76,0.385,3.821825,3.181398,0.442804152,-0.934760987
77,0.39,3.946145,3.242097,0.439558234,-0.913337998
78,0.395,3.900702,3.250861,0.441830377,-0.505976444
79,0.4,3.72964,3.206716,0.444102519,0.131196182
80,0.405,3.531636,3.132059,0.452217313,0.75700913
81,0.41,3.335256,3.050911,0.45708619,1.130939
82,0.415,3.218726,2.993457,0.4606567,1.110165
83,0.42,3.200873,2.979175,0.461305883,0.701828483
84,0.425,3.354407,3.017477,0.454164864,0.061733606
85,0.43,3.597205,3.095705,0.449295987,-0.56342905
86,0.435,3.818904,3.182696,0.442804152,-0.934760987
87,0.44,3.946145,3.241123,0.438584459,-0.913337998
88,0.445,3.894534,3.25151,0.441505785,-0.505651853
89,0.45,3.726718,3.207365,0.444102519,0.131196182
90,0.455,3.529689,3.131735,0.452217313,0.756359946
91,0.46,3.346617,3.051235,0.45708619,1.130615
92,0.465,3.210287,2.993133,0.460332108,1.110165
93,0.47,3.216454,2.9795,0.460981292,0.703126851
94,0.475,3.354732,3.018451,0.454489456,0.062058198
95,0.48,3.578703,3.096029,0.449620579,-0.56342905
96,0.485,3.821176,3.182696,0.442154968,-0.935085578
97,0.49,3.942575,3.242422,0.438909051,-0.913662589
98,0.495,3.903948,3.250537,0.441505785,-0.505651853
99,0.5,3.723148,3.20769,0.444102519,0.130546999
100,0.505,3.53261,3.132709,0.45156813,0.756684538
101,0.51,3.346941,3.051884,0.45708619,1.130939
102,0.515,3.218402,2.993133,0.460007516,1.109841
103,0.52,3.2197,2.9795,0.460332108,0.702477667
104,0.525,3.360574,3.016828,0.454489456,0.061733606
105,0.53,3.59688,3.096029,0.449295987,-0.56342905
106,0.535,3.81793,3.181722,0.44247956,-0.934760987
107,0.54,3.95069,3.241123,0.438909051,-0.913337998
108,0.545,3.901351,3.251186,0.441181193,-0.505651853
109,0.55,3.733859,3.20769,0.443453335,0.130546999
110,0.555,3.530338,3.13141,0.451243538,0.756359946
111,0.56,3.338502,3.05156,0.456761598,1.131264
112,0.565,3.208339,2.992808,0.459682925,1.110165
113,0.57,3.215805,2.979824,0.460332108,0.702477667
114,0.575,3.354407,3.017802,0.454164864,0.062058198
115,0.58,3.595257,3.096678,0.448646804,-0.563104459
116,0.585,3.821825,3.182047,0.441830377,-0.934760987
117,0.59,3.952962,3.242422,0.438259867,-0.913337998
118,0.595,3.914984,3.251186,0.440856601,-0.506301035
119,0.6,3.732886,3.205742,0.443453335,0.13087159
120,0.605,3.527092,3.13141,0.450918946,0.75700913
121,0.61,3.337528,3.05156,0.456761598,1.130615
122,0.615,3.218077,2.994106,0.459682925,1.110815
123,0.62,3.218402,2.979824,0.460007516,0.702477667
124,0.625,3.361548,3.018451,0.453840272,0.062382789
125,0.63,3.595906,3.096354,0.448322212,-0.562779868
126,0.635,3.821825,3.181722,0.441505785,-0.934760987
127,0.64,3.956208,3.242097,0.437935275,-0.913013407
128,0.645,3.904597,3.250861,0.44053201,-0.506301035
129,0.65,3.731912,3.207365,0.443128744,0.130222407
130,0.655,3.52417,3.131735,0.451243538,0.756035354
131,0.66,3.344669,3.05156,0.455787823,1.131264
132,0.665,3.221972,2.994106,0.459033741,1.11049
133,0.67,3.206067,2.979824,0.459682925,0.702477667
134,0.675,3.354407,3.018451,0.453191089,0.062382789
135,0.68,3.593309,3.096354,0.44799762,-0.562779868
136,0.685,3.805595,3.181722,0.440856601,-0.935085578
137,0.69,3.943873,3.242097,0.437610684,-0.913337998
138,0.695,3.896807,3.250212,0.439882826,-0.506301035
139,0.7,3.736781,3.207365,0.44247956,0.130546999
140,0.705,3.52839,3.132709,0.450594355,0.756035354
141,0.71,3.342397,3.052209,0.455787823,1.130615
142,0.715,3.214831,2.993133,0.458384557,1.11049
143,0.72,3.208015,2.9795,0.459358333,0.702802259
144,0.725,3.354732,3.018127,0.453191089,0.063031972
145,0.73,3.590063,3.096029,0.44799762,-0.563104459
146,0.735,3.81371,3.181722,0.440856601,-0.934760987
147,0.74,3.945821,3.242097,0.437610684,-0.913013407
148,0.745,3.90622,3.249887,0.439558234,-0.506625626
149,0.75,3.72542,3.207041,0.441830377,0.130546999
150,0.755,3.530013,3.132059,0.450269763,0.756684538
151,0.76,3.338826,3.050911,0.45513864,1.130939
152,0.765,3.208988,2.991834,0.458709149,1.110165
153,0.77,3.193732,2.978851,0.459033741,0.703126851
154,0.775,3.352459,3.017802,0.452866497,0.063031972
155,0.78,3.587467,3.096354,0.447348437,-0.562779868
156,0.785,3.808192,3.182047,0.440207418,-0.934760987
157,0.79,3.946794,3.242097,0.4369615,-0.913662589
158,0.795,3.906544,3.25151,0.439233642,-0.506625626
159,0.8,3.721525,3.206716,0.442154968,0.129897816
160,0.805,3.526443,3.131735,0.449945171,0.755710761
161,0.81,3.345643,3.052209,0.454489456,1.130939
162,0.815,3.202821,2.993133,0.458059966,1.110165
163,0.82,3.209638,2.980149,0.458384557,0.702477667
164,0.825,3.362847,3.017802,0.452217313,0.062707381
165,0.83,3.583896,3.09538,0.447023845,-0.562455277
166,0.835,3.815658,3.182047,0.44053201,-0.934436396
167,0.84,3.942899,3.242097,0.4369615,-0.913337998
168,0.845,3.908167,3.25151,0.439558234,-0.506625626
169,0.85,3.723797,3.208339,0.441830377,0.130546999
170,0.855,3.531961,3.131735,0.449945171,0.756035354
171,0.86,3.346292,3.052209,0.454814048,1.13029
172,0.865,3.214831,2.994106,0.457735374,1.11049
173,0.87,3.213857,2.981123,0.458384557,0.703451443
174,0.875,3.356355,3.0191,0.451892722,0.063031972
175,0.88,3.592985,3.096354,0.447023845,-0.562455277
176,0.885,3.815008,3.181722,0.439558234,-0.934760987
177,0.89,3.943873,3.242097,0.436636908,-0.913337998
178,0.895,3.889341,3.250212,0.438584459,-0.506625626
179,0.9,3.7212,3.20769,0.441505785,0.130222407
180,0.905,3.52839,3.132059,0.448971396,0.756035354
181,0.91,3.345968,3.051884,0.454489456,1.130939
182,0.915,3.219051,2.994106,0.457410782,1.11049
183,0.92,3.203795,2.9795,0.458709149,0.703126851
184,0.925,3.360899,3.018451,0.451892722,0.063031972
185,0.93,3.585519,3.095705,0.446374661,-0.562455277
186,0.935,3.816631,3.183021,0.439558234,-0.934760987
187,0.94,3.944522,3.242097,0.436312317,-0.913337998
188,0.945,3.907518,3.250861,0.438584459,-0.506301035
