,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.005,2.241048,2.584144,0.456112415,2.555579
1,0.01,2.540323,2.603295,0.448646804,0.846596553
2,0.015,3.013907,2.796428,0.425276197,-1.148666
3,0.02,3.416729,3.095705,0.399633449,-2.659959
4,0.025,4.638835,3.408939,0.382430087,-3.116657
5,0.03,5.162736,3.567991,0.376262845,-2.345106
6,0.035,4.399607,3.499826,0.387298963,-0.643927605
7,0.04,3.778654,3.277803,0.4054761,1.341275
8,0.045,3.174581,2.996379,0.428197522,2.858426
9,0.05,2.622121,2.738975,0.449620579,3.322597
10,0.055,2.292009,2.585117,0.455787823,2.555579
11,0.06,2.218326,2.595829,0.448646804,0.847245737
12,0.065,3.040199,2.795779,0.426249972,-1.148342
13,0.07,2.722096,3.078501,0.399633449,-2.659634
14,0.075,4.640783,3.408614,0.382754679,-3.117306
15,0.08,5.165333,3.567991,0.376587436,-2.345106
16,0.085,4.481405,3.501773,0.387298963,-0.644252196
17,0.09,3.770863,3.277478,0.4054761,1.340302
18,0.095,3.173932,2.995405,0.428197522,2.857777
19,0.1,2.621147,2.738326,0.449620579,3.32357
20,0.105,2.222871,2.58317,0.456437007,2.555255
21,0.11,2.478651,2.602321,0.449295987,0.846596553
22,0.115,3.022022,2.795779,0.42592538,-1.148017
23,0.12,3.530662,3.099924,0.39995804,-2.659309
24,0.125,4.538534,3.404719,0.383079271,-3.117306
25,0.13,5.157867,3.567991,0.376587436,-2.345755
26,0.135,4.488546,3.501449,0.387623555,-0.644901378
27,0.14,3.804621,3.278127,0.405800692,1.340302
28,0.145,3.170037,2.996703,0.428522114,2.857777
29,0.15,2.618551,2.738326,0.449295987,3.322921
30,0.155,2.274806,2.585767,0.456112415,2.556553
31,0.16,2.568888,2.604593,0.449295987,0.846921145
32,0.165,3.006441,2.79513,0.426249972,-1.147368
33,0.17,3.157378,3.089862,0.39995804,-2.659634
34,0.175,4.627799,3.407316,0.383403862,-3.116981
35,0.18,4.650521,3.555981,0.376587436,-2.34608
36,0.185,4.514839,3.501773,0.387298963,-0.644901378
37,0.19,3.790988,3.277153,0.406449875,1.339977
38,0.195,3.176529,2.995729,0.428197522,2.857777
39,0.2,2.621472,2.738651,0.449945171,3.32357
40,0.205,2.304344,2.585117,0.456437007,2.555904
41,0.21,2.604593,2.603944,0.449620579,0.847570329
42,0.215,2.998002,2.794805,0.42592538,-1.147043
43,0.22,4.154536,3.113233,0.39995804,-2.659309
44,0.225,4.633317,3.40829,0.382754679,-3.116657
45,0.23,4.650521,3.555981,0.37723662,-2.346405
46,0.235,4.484002,3.501773,0.387623555,-0.644576787
47,0.24,3.784496,3.278776,0.406125283,1.339977
48,0.245,3.174581,2.996703,0.428522114,2.857452
49,0.25,2.620498,2.738326,0.449945171,3.32357
50,0.255,2.205342,2.583494,0.456761598,2.556229
51,0.26,2.843819,2.611085,0.449620579,0.847570329
52,0.265,3.178801,2.799999,0.426249972,-1.147368
53,0.27,4.0023,3.109987,0.400282632,-2.65866
54,0.275,4.642406,3.408614,0.383403862,-3.116981
55,0.28,5.164684,3.567666,0.376587436,-2.34608
56,0.285,4.474264,3.500475,0.387623555,-0.645225969
57,0.29,3.79326,3.278127,0.406125283,1.339652
58,0.295,3.168089,2.996379,0.428197522,2.858101
59,0.3,2.616278,2.738326,0.449945171,3.322921
60,0.305,2.217352,2.582845,0.456761598,2.556229
61,0.31,2.505592,2.60297,0.449620579,0.847894922
62,0.315,2.955804,2.794156,0.426249972,-1.146719
63,0.32,2.812009,3.082721,0.400607224,-2.65866
64,0.325,4.60248,3.406991,0.383403862,-3.116657
65,0.33,4.631369,3.555007,0.37723662,-2.346729
66,0.335,4.451218,3.500475,0.387623555,-0.645225969
67,0.34,3.771837,3.278127,0.405800692,1.339003
68,0.345,3.178801,2.997028,0.428846706,2.857128
69,0.35,2.620498,2.739949,0.449945171,3.323246
70,0.355,2.215729,2.584793,0.456437007,2.556553
71,0.36,2.346216,2.599075,0.449295987,0.848219514
72,0.365,2.976254,2.795779,0.42592538,-1.14607
73,0.37,4.005546,3.109338,0.400282632,-2.65866
74,0.375,4.645002,3.408614,0.383728454,-3.116657
75,0.38,3.987044,3.541374,0.37723662,-2.346729
76,0.385,4.483678,3.501449,0.387948146,-0.64555056
77,0.39,3.774758,3.278127,0.406125283,1.339328
78,0.395,3.168414,2.995729,0.428522114,2.856803
79,0.4,2.63543,2.738975,0.450269763,3.323246
80,0.405,2.262146,2.585117,0.456437007,2.557202
81,0.41,2.434506,2.600373,0.449295987,0.848219514
82,0.415,3.43231,2.805192,0.426574564,-1.14607
83,0.42,4.080528,3.111285,0.400607224,-2.658985
84,0.425,4.62715,3.407316,0.383728454,-3.116981
85,0.43,5.165982,3.56864,0.37723662,-2.346729
86,0.435,4.495363,3.501449,0.387948146,-0.646524332
87,0.44,3.790339,3.279426,0.406125283,1.339003
88,0.445,3.185618,2.997352,0.428846706,2.857128
89,0.45,2.62277,2.7393,0.450269763,3.322921
90,0.455,2.270261,2.584144,0.45708619,2.557202
91,0.46,1.912234,2.588039,0.449945171,0.84919329
92,0.465,3.037602,2.797078,0.426574564,-1.146394
93,0.47,2.890561,3.085318,0.400282632,-2.65866
