,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.005,3.861426,2.959699,0.353866017,-3.17768
1,0.01,2.841547,3.360899,0.323029807,-4.193646
2,0.015,3.994835,3.671862,0.311019916,-3.567837
3,0.02,3.333958,3.664396,0.319459299,-1.54629
4,0.025,3.651412,3.429389,0.34088235,1.099454
5,0.03,3.429064,3.064544,0.373666111,3.374532
6,0.035,2.737028,2.693532,0.402879366,4.400256
7,0.04,1.926517,2.420548,0.423004054,3.786769
8,0.045,1.936254,2.359849,0.419433545,1.759676
9,0.05,2.389712,2.548763,0.389895697,-0.905223229
10,0.055,3.683872,2.954181,0.353866017,-3.17703
11,0.06,4.148693,3.392709,0.322705216,-4.194945
12,0.065,4.033137,3.67316,0.311344508,-3.569135
13,0.07,3.764371,3.673809,0.319783891,-1.54629
14,0.075,2.240074,3.394008,0.34088235,1.099129
15,0.08,3.784821,3.072334,0.373341519,3.374532
16,0.085,2.581547,2.689637,0.403203958,4.40123
17,0.09,2.188464,2.427365,0.422679463,3.785795
18,0.095,1.472411,2.347839,0.419108953,1.76
19,0.1,2.842845,2.560773,0.389571105,-0.905223229
20,0.105,4.082151,2.964568,0.353866017,-3.176706
21,0.11,2.874331,3.362197,0.322705216,-4.193646
22,0.115,4.115909,3.676406,0.311344508,-3.56946
23,0.12,3.928617,3.677704,0.319459299,-1.546939
24,0.125,3.228789,3.419002,0.341206941,1.098156
25,0.13,2.924319,3.051884,0.373990703,3.373558
26,0.135,2.527664,2.688663,0.402879366,4.401554
27,0.14,2.539674,2.435155,0.423004054,3.787418
28,0.145,1.738577,2.355954,0.419108953,1.76
29,0.15,2.519225,2.552009,0.389895697,-0.904898638
30,0.155,3.075904,2.941522,0.354190609,-3.176706
31,0.16,2.620823,3.354082,0.322380624,-4.194295
32,0.165,2.375754,3.633235,0.311019916,-3.568486
33,0.17,3.512485,3.667642,0.319783891,-1.547588
34,0.175,3.467691,3.423221,0.34088235,1.098805
35,0.18,3.364145,3.063245,0.373341519,3.373883
36,0.185,2.48709,2.686391,0.403203958,4.400256
37,0.19,1.573684,2.411784,0.423004054,3.787093
38,0.195,1.952809,2.360174,0.419433545,1.760974
39,0.2,2.430286,2.550061,0.389571105,-0.904574048
40,0.205,3.849416,2.959375,0.353866017,-3.175732
41,0.21,4.172714,3.393034,0.323029807,-4.19462
42,0.215,4.650521,3.68939,0.311344508,-3.569784
43,0.22,3.653684,3.671212,0.319459299,-1.547913
44,0.225,2.862321,3.410887,0.34088235,1.097831
45,0.23,3.751388,3.072658,0.373990703,3.373883
46,0.235,2.351085,2.68282,0.402879366,4.401554
47,0.24,1.933658,2.419899,0.422679463,3.787418
48,0.245,1.650937,2.354006,0.419433545,1.760649
49,0.25,2.242671,2.545841,0.389571105,-0.903924866
50,0.255,2.755529,2.931784,0.353541425,-3.176057
51,0.26,3.714059,3.382322,0.322705216,-4.193646
52,0.265,4.572942,3.687118,0.311344508,-3.569784
53,0.27,2.84739,3.650114,0.319783891,-1.548237
54,0.275,4.223351,3.442697,0.34088235,1.097506
55,0.28,3.153483,3.059025,0.373341519,3.372584
56,0.285,2.696778,2.693532,0.402879366,4.40123
57,0.29,1.730787,2.415679,0.423004054,3.788391
58,0.295,1.36984,2.345892,0.419108953,1.761623
59,0.3,2.498775,2.552009,0.389895697,-0.903600275
60,0.305,3.67673,2.955155,0.354190609,-3.176381
61,0.31,4.576188,3.401798,0.322705216,-4.193971
62,0.315,4.518085,3.684521,0.311669099,-3.56946
63,0.32,3.725095,3.671212,0.319783891,-1.548237
64,0.325,3.555007,3.424844,0.34088235,1.096533
65,0.33,3.877006,3.075904,0.373341519,3.373558
66,0.335,1.954432,2.673082,0.402879366,4.400905
67,0.34,2.444893,2.433532,0.423004054,3.787418
68,0.345,1.810637,2.356603,0.419433545,1.761948
69,0.35,2.55136,2.552658,0.389895697,-0.902951094
70,0.355,2.695804,2.930486,0.353866017,-3.175408
71,0.36,3.465094,3.376155,0.322705216,-4.193646
72,0.365,3.501773,3.66115,0.311344508,-3.570434
73,0.37,2.789936,3.651412,0.319459299,-1.548562
74,0.375,2.036229,3.389139,0.34088235,1.096857
75,0.38,2.922046,3.053183,0.373341519,3.372584
76,0.385,2.456903,2.686066,0.402879366,4.401879
77,0.39,1.956704,2.422171,0.422679463,3.788391
78,0.395,1.613933,2.35076,0.419108953,1.761299
79,0.4,2.283894,2.545841,0.390220289,-0.902951094
80,0.405,3.402123,2.948663,0.353541425,-3.175408
81,0.41,4.394738,3.400175,0.322705216,-4.193971
82,0.415,4.403177,3.682573,0.311019916,-3.56946
83,0.42,4.344101,3.686468,0.319134707,-1.549211
84,0.425,3.343695,3.419651,0.341206941,1.096857
85,0.43,3.243395,3.05935,0.373341519,3.37226
86,0.435,2.544868,2.688338,0.403203958,4.400256
87,0.44,2.286166,2.428663,0.423004054,3.789041
88,0.445,2.083295,2.36277,0.419433545,1.762597
89,0.45,2.168663,2.543569,0.390220289,-0.902626503
90,0.455,2.37543,2.923669,0.353541425,-3.174758
91,0.46,3.50015,3.375506,0.322705216,-4.193971
92,0.465,4.042226,3.673809,0.311344508,-3.570434
93,0.47,3.542023,3.668291,0.319783891,-1.549211
94,0.475,3.817605,3.43231,0.341206941,1.095559
95,0.48,2.91523,3.05156,0.373341519,3.373234
96,0.485,2.629911,2.690611,0.403203958,4.400905
97,0.49,2.47086,2.43483,0.422679463,3.788067
98,0.495,1.998576,2.358551,0.419108953,1.762922
99,0.5,2.591285,2.552658,0.389895697,-0.902301912
100,0.505,2.744493,2.930811,0.353866017,-3.174758
101,0.51,3.384919,3.374207,0.323029807,-4.192997
102,0.515,4.480432,3.684521,0.311019916,-3.571083
103,0.52,2.344269,3.638753,0.319459299,-1.54986
104,0.525,3.248589,3.420949,0.340233166,1.095559
105,0.53,3.004494,3.054481,0.373341519,3.370961
106,0.535,2.341996,2.68282,0.402879366,4.400905
107,0.54,2.13523,2.427689,0.423004054,3.789365
108,0.545,2.003445,2.362121,0.419433545,1.762597
109,0.55,2.380948,2.548114,0.390220289,-0.901652731
110,0.555,2.89478,2.934706,0.353866017,-3.175083
111,0.56,3.144394,3.367715,0.323029807,-4.193971
112,0.565,4.419083,3.681924,0.311669099,-3.571083
113,0.57,3.242097,3.661799,0.320108482,-1.550185
114,0.575,1.879126,3.387516,0.34088235,1.095234
115,0.58,1.986566,3.032084,0.373341519,3.371935
116,0.585,2.869138,2.696778,0.403853141,4.400256
117,0.59,1.456181,2.407564,0.422679463,3.789041
118,0.595,1.584395,2.349787,0.419108953,1.763571
119,0.6,2.528313,2.550386,0.389895697,-0.90132814
120,0.605,2.999625,2.936329,0.353866017,-3.174109
121,0.61,2.288114,3.34824,0.322705216,-4.194295
122,0.615,4.584303,3.686793,0.311669099,-3.571407
123,0.62,2.651984,3.646868,0.319783891,-1.550185
124,0.625,4.129542,3.440425,0.34088235,1.094585
125,0.63,3.013907,3.05513,0.373341519,3.371611
126,0.635,2.352383,2.684119,0.402879366,4.40123
127,0.64,1.76779,2.416004,0.423004054,3.789365
128,0.645,2.213457,2.366666,0.419108953,1.763571
