133,130,152,23:35:18:9364
133,130,152,23:35:18:9390
133,130,152,23:35:18:9390
133,130,152,23:35:19:0414
133,130,152,23:35:19:0414
133,130,153,23:35:19:1554
134,131,152,23:35:19:1564
135,131,153,23:35:19:1564
134,130,152,23:35:19:2609
134,129,153,23:35:19:2609
135,129,157,23:35:19:2609
136,129,153,23:35:19:3734
120,136,168,23:35:19:3744
84,123,164,23:35:19:4833
91,137,141,23:35:19:4853
109,133,141,23:35:19:4853
164,108,141,23:35:19:5908
182,129,164,23:35:19:5938
195,129,156,23:35:19:5938
135,130,143,23:35:19:6993
116,137,154,23:35:19:7003
127,181,147,23:35:19:8103
165,177,151,23:35:19:8112
144,122,159,23:35:19:8122
142,85,152,23:35:19:9207
130,77,149,23:35:19:9214
121,100,150,23:35:19:9214
132,130,155,23:35:20:0270
126,133,159,23:35:20:0280
113,151,183,23:35:20:1355
127,150,223,23:35:20:1365
176,117,194,23:35:20:1365
169,107,141,23:35:20:2487
144,120,84,23:35:20:2497
139,132,85,23:35:20:2507
119,124,108,23:35:20:3571
98,119,139,23:35:20:3581
123,133,155,23:35:20:3591
133,127,156,23:35:20:4671
126,123,144,23:35:20:4681
128,123,137,23:35:20:5786
128,126,134,23:35:20:5786
127,126,141,23:35:20:5786
119,136,148,23:35:20:6854
125,120,168,23:35:20:6854
127,130,172,23:35:20:6861
149,116,177,23:35:20:7911
150,121,163,23:35:20:7911
145,127,150,23:35:20:8998
133,134,150,23:35:20:9008
123,130,151,23:35:20:9018
122,136,149,23:35:21:0107
113,139,160,23:35:21:0107
125,138,161,23:35:21:0107
127,135,156,23:35:21:1239
122,132,158,23:35:21:1239
124,131,157,23:35:21:1249
127,130,158,23:35:21:2335
132,131,155,23:35:21:2335
132,130,154,23:35:21:3397
131,129,152,23:35:21:3407
130,128,152,23:35:21:3417
129,127,153,23:35:21:4507
130,128,153,23:35:21:4507
129,128,152,23:35:21:4517
130,128,153,23:35:21:5588
130,128,152,23:35:21:5588
130,128,153,23:35:21:6652
130,128,153,23:35:21:6652
130,128,153,23:35:21:6661
130,128,154,23:35:21:7770
130,128,153,23:35:21:7783
130,128,153,23:35:21:7783
