131,124,153,23:39:25:9947
131,124,152,23:39:25:9997
131,124,154,23:39:25:9997
131,124,153,23:39:26:1027
130,123,166,23:39:26:1037
113,116,182,23:39:26:1047
82,106,218,23:39:26:2138
63,106,143,23:39:26:2138
94,114,122,23:39:26:3218
159,115,93,23:39:26:3228
238,123,170,23:39:26:3228
202,121,132,23:39:26:4335
120,114,141,23:39:26:4335
118,123,140,23:39:26:4335
140,125,153,23:39:26:5411
149,129,142,23:39:26:5421
143,128,147,23:39:26:5421
133,130,147,23:39:26:6537
125,131,144,23:39:26:6542
120,132,151,23:39:26:7650
117,130,150,23:39:26:7659
106,123,171,23:39:26:7669
119,127,152,23:39:26:8717
119,127,161,23:39:26:8717
121,127,173,23:39:26:8717
124,128,156,23:39:26:9797
120,127,158,23:39:26:9807
122,127,158,23:39:27:0911
124,128,150,23:39:27:0911
126,128,152,23:39:27:0911
126,128,149,23:39:27:2000
125,127,152,23:39:27:2010
123,126,156,23:39:27:2020
120,126,152,23:39:27:3069
116,127,181,23:39:27:3069
108,131,186,23:39:27:4161
93,111,222,23:39:27:4171
79,110,135,23:39:27:4181
86,118,100,23:39:27:5276
135,117,113,23:39:27:5296
222,118,138,23:39:27:5296
206,137,126,23:39:27:6377
147,124,142,23:39:27:6387
119,122,152,23:39:27:6387
136,127,139,23:39:27:7455
147,128,149,23:39:27:7465
137,128,139,23:39:27:8591
134,132,144,23:39:27:8591
130,130,139,23:39:27:8591
112,131,138,23:39:27:9642
117,126,156,23:39:27:9642
102,120,157,23:39:27:9652
110,116,169,23:39:28:0771
108,121,175,23:39:28:0781
115,123,169,23:39:28:1849
116,127,163,23:39:28:1849
121,127,157,23:39:28:1859
125,130,144,23:39:28:2941
126,127,152,23:39:28:2941
126,128,150,23:39:28:2941
123,127,154,23:39:28:4037
123,127,157,23:39:28:4037
122,127,163,23:39:28:5099
110,129,190,23:39:28:5099
85,117,221,23:39:28:5099
97,101,181,23:39:28:6250
49,108,89,23:39:28:6260
148,95,141,23:39:28:6269
202,125,77,23:39:28:7321
208,141,116,23:39:28:7321
156,127,134,23:39:28:7321
132,125,150,23:39:28:8398
137,129,141,23:39:28:8408
149,132,145,23:39:28:9516
152,130,141,23:39:28:9526
134,130,138,23:39:28:9526
139,129,137,23:39:29:0566
123,132,141,23:39:29:0576
128,129,140,23:39:29:0576
103,111,168,23:39:29:1682
96,113,155,23:39:29:1693
102,116,169,23:39:29:2763
110,120,155,23:39:29:2794
111,122,169,23:39:29:2814
118,124,154,23:39:29:3856
122,126,161,23:39:29:3856
121,125,153,23:39:29:3864
126,127,148,23:39:29:4973
125,125,155,23:39:29:4983
125,126,147,23:39:29:6085
125,125,155,23:39:29:6085
123,125,151,23:39:29:6085
123,125,153,23:39:29:7166
123,126,152,23:39:29:7186
124,125,154,23:39:29:7196
123,125,153,23:39:29:8229
125,126,152,23:39:29:8229
124,125,155,23:39:29:9329
126,127,157,23:39:29:9339
128,127,184,23:39:29:9339
96,119,202,23:39:30:0448
86,96,216,23:39:30:0459
43,96,123,23:39:30:0459
90,97,132,23:39:30:1545
177,121,58,23:39:30:1565
251,132,142,23:39:30:1575
170,125,137,23:39:30:2641
122,124,145,23:39:30:2641
125,128,146,23:39:30:3706
144,129,150,23:39:30:3706
151,123,147,23:39:30:3716
137,126,130,23:39:30:4825
142,124,145,23:39:30:4835
124,132,123,23:39:30:4835
118,125,137,23:39:30:5923
82,115,172,23:39:30:5923
97,115,160,23:39:30:7031
99,120,172,23:39:30:7031
121,125,177,23:39:30:7042
118,126,152,23:39:30:8094
119,125,157,23:39:30:8094
119,125,152,23:39:30:8094
119,125,153,23:39:30:9165
123,126,153,23:39:30:9165
125,126,153,23:39:31:0271
124,126,151,23:39:31:0280
126,127,152,23:39:31:0280
126,126,154,23:39:31:1349
125,126,151,23:39:31:1349
124,126,153,23:39:31:1349
125,126,154,23:39:31:2477
124,126,152,23:39:31:2477
125,126,153,23:39:31:2477
125,127,153,23:39:31:3574
125,126,155,23:39:31:3584
