127,120,150,23:45:12:6358
125,123,157,23:45:12:6407
127,123,155,23:45:12:6407
128,125,158,23:45:12:7448
128,124,151,23:45:12:7448
130,125,147,23:45:12:8570
130,126,154,23:45:12:8580
128,127,151,23:45:12:8580
131,127,152,23:45:12:9643
131,128,153,23:45:12:9663
132,128,152,23:45:12:9673
131,129,154,23:45:13:0727
133,129,152,23:45:13:0737
132,128,158,23:45:13:0737
130,126,163,23:45:13:1857
103,117,172,23:45:13:1867
58,111,156,23:45:13:2963
104,127,123,23:45:13:2971
148,123,162,23:45:13:2971
194,142,170,23:45:13:4042
159,127,149,23:45:13:4054
146,129,158,23:45:13:4054
124,123,148,23:45:13:5106
122,126,153,23:45:13:5116
118,132,147,23:45:13:6193
125,149,163,23:45:13:6193
137,170,172,23:45:13:6193
164,155,187,23:45:13:7344
93,61,98,23:45:13:7344
134,107,160,23:45:13:7344
123,106,147,23:45:13:8409
124,121,160,23:45:13:8409
122,124,147,23:45:13:9491
124,128,148,23:45:13:9501
130,135,162,23:45:13:9501
112,124,209,23:45:14:0566
108,123,222,23:45:14:0566
134,116,166,23:45:14:0566
130,118,152,23:45:14:1677
148,114,90,23:45:14:1677
156,137,88,23:45:14:2788
130,123,110,23:45:14:2796
105,128,160,23:45:14:2796
124,130,151,23:45:14:3904
126,132,153,23:45:14:3914
115,128,151,23:45:14:3914
117,127,144,23:45:14:4965
119,128,144,23:45:14:4965
119,124,151,23:45:14:4975
120,125,148,23:45:14:6062
133,125,155,23:45:14:6072
129,126,155,23:45:14:7157
141,127,153,23:45:14:7159
131,125,153,23:45:14:7159
126,124,150,23:45:14:8254
124,127,147,23:45:14:8254
117,128,150,23:45:14:8263
121,131,157,23:45:14:9341
127,132,162,23:45:14:9341
127,139,153,23:45:15:0406
132,133,165,23:45:15:0416
122,134,165,23:45:15:0416
126,129,157,23:45:15:1524
125,132,160,23:45:15:1524
127,131,158,23:45:15:1534
131,132,155,23:45:15:2641
135,131,150,23:45:15:2641
130,130,149,23:45:15:2641
130,129,150,23:45:15:3685
132,130,153,23:45:15:3694
131,129,152,23:45:15:4837
131,130,157,23:45:15:4846
131,129,157,23:45:15:4846
125,124,158,23:45:15:5904
39,116,189,23:45:15:5914
64,123,133,23:45:15:5914
133,121,137,23:45:15:7022
218,148,186,23:45:15:7032
167,117,129,23:45:15:8097
128,115,151,23:45:15:8107
132,124,153,23:45:15:8107
134,127,159,23:45:15:9178
133,133,156,23:45:15:9188
132,132,155,23:45:15:9188
125,134,152,23:45:16:0273
123,134,152,23:45:16:0273
122,141,152,23:45:16:1345
112,173,156,23:45:16:1355
182,186,186,23:45:16:1365
169,126,172,23:45:16:2497
105,63,117,23:45:16:2497
101,77,159,23:45:16:2506
120,104,147,23:45:16:3550
138,123,153,23:45:16:3550
133,135,158,23:45:16:4651
137,136,153,23:45:16:4671
127,134,148,23:45:16:4682
124,135,151,23:45:16:5758
128,134,152,23:45:16:5767
118,131,160,23:45:16:5767
120,125,219,23:45:16:6884
118,111,234,23:45:16:6884
152,118,188,23:45:16:6893
145,108,139,23:45:16:7901
162,125,53,23:45:16:7901
147,126,81,23:45:16:9067
112,132,155,23:45:16:9067
123,131,158,23:45:16:9077
115,129,144,23:45:17:0123
111,128,155,23:45:17:0123
114,128,156,23:45:17:0123
120,128,148,23:45:17:1245
121,128,146,23:45:17:1245
123,130,146,23:45:17:2313
123,127,144,23:45:17:2313
121,128,146,23:45:17:2313
125,130,141,23:45:17:3401
130,131,151,23:45:17:3421
125,133,145,23:45:17:3431
123,130,157,23:45:17:4485
123,135,147,23:45:17:4495
129,131,149,23:45:17:5571
131,133,158,23:45:17:5581
124,131,165,23:45:17:5601
126,134,166,23:45:17:6715
133,131,161,23:45:17:6725
122,130,158,23:45:17:6735
126,132,160,23:45:17:7798
128,131,153,23:45:17:7832
130,130,155,23:45:17:7842
127,130,152,23:45:17:8892
128,130,153,23:45:17:8892
128,131,156,23:45:17:9930
129,130,151,23:45:17:9940
128,129,155,23:45:17:9940
127,130,153,23:45:18:1078
128,129,155,23:45:18:1088
128,130,160,23:45:18:1088
