132,129,153,23:33:18:8408
132,130,153,23:33:18:8428
132,130,153,23:33:18:9480
131,129,153,23:33:18:9480
132,130,152,23:33:18:9490
131,130,153,23:33:19:0613
132,130,152,23:33:19:0613
131,129,153,23:33:19:0613
133,130,153,23:33:19:1694
131,131,152,23:33:19:1694
130,129,152,23:33:19:2756
132,130,153,23:33:19:2777
132,131,152,23:33:19:2786
132,131,152,23:33:19:3884
131,130,152,23:33:19:3884
132,131,152,23:33:19:3894
132,131,151,23:33:19:4970
131,131,151,23:33:19:4970
129,135,167,23:33:19:6026
126,141,206,23:33:19:6034
128,137,214,23:33:19:6044
149,125,164,23:33:19:7144
150,116,100,23:33:19:7144
149,128,111,23:33:19:7154
132,129,109,23:33:19:8251
116,128,136,23:33:19:8262
110,126,153,23:33:19:8262
104,114,175,23:33:19:9355
93,136,172,23:33:19:9355
58,113,152,23:33:20:0404
103,125,125,23:33:20:0412
160,87,99,23:33:20:0422
243,136,177,23:33:20:1544
203,108,168,23:33:20:1544
122,115,136,23:33:20:1554
112,125,153,23:33:20:2633
113,130,148,23:33:20:2653
128,135,155,23:33:20:3703
140,132,153,23:33:20:3713
134,130,148,23:33:20:3713
139,129,149,23:33:20:4836
136,124,145,23:33:20:4846
142,124,149,23:33:20:4846
140,128,134,23:33:20:5882
141,138,154,23:33:20:5882
132,125,146,23:33:20:7004
121,121,155,23:33:20:7014
115,121,145,23:33:20:7014
108,136,147,23:33:20:8090
112,123,145,23:33:20:8100
109,113,147,23:33:20:8100
117,105,164,23:33:20:9214
136,128,160,23:33:20:9214
140,136,176,23:33:20:9224
148,137,168,23:33:21:0277
138,134,165,23:33:21:0277
135,127,152,23:33:21:1400
125,127,148,23:33:21:1400
129,128,151,23:33:21:1400
131,128,149,23:33:21:2499
132,128,151,23:33:21:2499
134,128,154,23:33:21:2509
135,127,152,23:33:21:3534
132,127,152,23:33:21:3534
134,127,152,23:33:21:4640
133,128,152,23:33:21:4660
134,128,153,23:33:21:4670
135,129,152,23:33:21:5718
133,129,153,23:33:21:5718
134,129,153,23:33:21:5718
134,129,152,23:33:21:6850
134,128,153,23:33:21:6861
134,128,152,23:33:21:7952
134,128,152,23:33:21:7952
134,129,152,23:33:21:7952
134,129,151,23:33:21:9021
133,129,151,23:33:21:9031
134,129,151,23:33:21:9051
133,128,153,23:33:22:0127
137,128,154,23:33:22:0127
135,128,153,23:33:22:0127
135,128,152,23:33:22:1245
134,128,152,23:33:22:1255
134,128,152,23:33:22:2333
134,128,152,23:33:22:2333
135,129,152,23:33:22:2343
135,128,152,23:33:22:3423
134,128,152,23:33:22:3423
135,129,152,23:33:22:3433
