133,129,153,23:31:24:4187
133,129,154,23:31:24:4207
133,130,152,23:31:24:4207
132,129,152,23:31:24:5273
133,129,153,23:31:24:5273
133,130,152,23:31:24:5283
133,128,153,23:31:24:6342
133,129,152,23:31:24:6342
133,129,152,23:31:24:7472
132,129,152,23:31:24:7472
133,130,152,23:31:24:7472
132,129,152,23:31:24:8570
132,129,153,23:31:24:8570
132,129,152,23:31:24:8570
132,129,152,23:31:24:9634
132,129,153,23:31:24:9644
132,130,153,23:31:24:9644
133,130,153,23:31:25:0734
132,129,152,23:31:25:0734
132,129,153,23:31:25:1848
133,130,152,23:31:25:1848
131,129,153,23:31:25:1848
131,129,153,23:31:25:2955
125,129,161,23:31:25:2963
118,124,162,23:31:25:2963
108,133,148,23:31:25:4054
106,135,145,23:31:25:4054
132,124,145,23:31:25:5100
132,114,143,23:31:25:5100
160,143,160,23:31:25:5110
184,131,162,23:31:25:6214
167,139,145,23:31:25:6224
152,128,149,23:31:25:6224
145,125,149,23:31:25:7335
142,131,146,23:31:25:7335
136,129,147,23:31:25:8399
134,133,145,23:31:25:8402
130,129,149,23:31:25:8402
122,127,150,23:31:25:9474
111,122,157,23:31:25:9474
115,127,156,23:31:25:9484
122,127,158,23:31:26:0580
129,131,156,23:31:26:0590
131,132,153,23:31:26:0590
129,131,153,23:31:26:1712
134,130,152,23:31:26:1712
131,130,153,23:31:26:2780
132,130,153,23:31:26:2780
132,129,153,23:31:26:2790
132,130,153,23:31:26:3890
132,130,152,23:31:26:3899
131,130,152,23:31:26:3899
131,130,153,23:31:26:4980
132,131,152,23:31:26:4980
