132,130,153,23:38:00:2632
131,130,152,23:38:00:2642
134,126,152,23:38:00:3722
133,129,151,23:38:00:3722
133,129,152,23:38:00:3722
133,129,151,23:38:00:4826
133,128,152,23:38:00:4826
132,130,154,23:38:00:4826
134,129,151,23:38:00:5917
132,129,153,23:38:00:5928
138,133,152,23:38:00:5928
133,130,153,23:38:00:7033
135,131,152,23:38:00:7039
132,130,154,23:38:00:8080
116,127,166,23:38:00:8087
109,137,179,23:38:00:8087
96,116,182,23:38:00:9200
100,126,129,23:38:00:9210
141,126,127,23:38:00:9220
194,126,129,23:38:01:0309
203,137,150,23:38:01:0339
186,126,142,23:38:01:1391
151,127,147,23:38:01:1402
138,118,156,23:38:01:1402
125,127,147,23:38:01:2495
124,135,154,23:38:01:2505
110,118,159,23:38:01:2515
109,127,149,23:38:01:3537
118,128,159,23:38:01:3537
126,126,156,23:38:01:4644
125,127,159,23:38:01:4654
138,129,158,23:38:01:4664
134,126,156,23:38:01:5775
135,130,152,23:38:01:5785
134,129,151,23:38:01:5785
131,129,150,23:38:01:6830
135,129,149,23:38:01:6830
122,126,155,23:38:01:7905
107,126,170,23:38:01:7905
94,127,176,23:38:01:7905
77,94,150,23:38:01:9041
141,133,122,23:38:01:9055
220,142,156,23:38:01:9055
236,131,150,23:38:02:0114
169,116,130,23:38:02:0114
138,117,141,23:38:02:0124
138,122,145,23:38:02:1207
125,120,147,23:38:02:1207
121,127,143,23:38:02:2329
124,133,154,23:38:02:2329
119,132,151,23:38:02:2329
111,130,162,23:38:02:3411
117,125,163,23:38:02:3411
122,124,159,23:38:02:3411
134,129,154,23:38:02:4506
143,136,149,23:38:02:4506
138,128,151,23:38:02:5604
136,129,148,23:38:02:5604
133,127,152,23:38:02:5604
137,128,151,23:38:02:6699
131,126,156,23:38:02:6699
138,130,152,23:38:02:6699
134,129,153,23:38:02:7783
134,130,151,23:38:02:7783
134,129,153,23:38:02:8883
136,130,153,23:38:02:8892
131,126,157,23:38:02:8892
118,129,166,23:38:02:9939
101,120,183,23:38:02:9939
81,116,165,23:38:02:9939
125,125,112,23:38:03:1082
146,119,130,23:38:03:1082
209,122,161,23:38:03:1092
216,140,146,23:38:03:2174
163,115,143,23:38:03:2174
150,117,154,23:38:03:3287
146,122,149,23:38:03:3297
137,127,141,23:38:03:3307
124,129,142,23:38:03:4328
113,125,150,23:38:03:4338
96,119,152,23:38:03:4348
103,133,152,23:38:03:5434
126,130,163,23:38:03:5434
130,123,165,23:38:03:6512
130,124,157,23:38:03:6532
132,129,151,23:38:03:6542
133,130,151,23:38:03:7604
135,128,149,23:38:03:7604
129,127,151,23:38:03:7604
133,129,151,23:38:03:8721
128,127,155,23:38:03:8721
127,130,156,23:38:03:9774
114,124,165,23:38:03:9774
92,126,165,23:38:03:9774
96,112,143,23:38:04:0916
112,116,143,23:38:04:0925
155,115,148,23:38:04:0925
243,146,156,23:38:04:1979
202,133,119,23:38:04:1979
148,122,130,23:38:04:3076
143,120,145,23:38:04:3086
145,125,152,23:38:04:3086
128,130,146,23:38:04:4192
116,124,156,23:38:04:4201
103,120,157,23:38:04:4211
103,128,155,23:38:04:5290
120,124,157,23:38:04:5310
125,124,162,23:38:04:5320
134,128,157,23:38:04:6373
135,130,152,23:38:04:6373
132,129,151,23:38:04:7441
134,130,152,23:38:04:7451
133,127,153,23:38:04:7461
131,127,152,23:38:04:8524
132,128,151,23:38:04:8524
133,129,150,23:38:04:8535
131,128,152,23:38:04:9630
132,127,153,23:38:04:9640
132,128,152,23:38:05:0737
132,128,153,23:38:05:0737
132,128,153,23:38:05:0737
132,128,153,23:38:05:1822
132,128,152,23:38:05:1822
132,127,152,23:38:05:1822
132,128,153,23:38:05:2908
133,128,153,23:38:05:2908
