   20.2933  	     0.0405  	   364.3834 	    -0.0006
   19.2634  	     0.0335  	     6.3244 	     0.0510
   18.2059  	     0.0320  	     6.0775 	     0.0540
   17.2224  	     0.0324  	     6.5966 	     0.0570
   16.0841  	     0.0313  	     6.7932 	     0.0610
   15.0932  	     0.0329  	     8.9933 	     0.0646
   15.0681  	     0.0328  	     9.5761 	     0.0646
   14.0431  	     0.0314  	     9.1469 	     0.0694
   12.9704  	     0.0370  	    15.4016 	     0.0738
   11.8666  	     0.0524  	    34.4762 	     0.0762
   10.7093  	     0.0609  	   123.2810 	     0.0614
    9.7563  	     0.0220  	   168.2303 	     0.0546
    8.6927  	     0.0087  	   173.4898 	     0.0596
    7.5777  	     0.0053  	   138.7627 	     0.0811
    6.5939  	     0.0042  	  -876.9922 	     0.5211
    5.4373  	     0.0026  	 -2066.0221 	     1.2394
   12.3865  	     0.0431  	    21.9961 	     0.0758
   11.2760  	     0.0727  	    63.6667 	     0.0730
   10.8520  	     0.0044  	  -177.9539 	     0.1377
   20.4260  	     0.1228  	   186.4608 	     0.0236
   19.2672  	     0.1177  	   187.9821 	     0.0248
   18.1783  	     0.1497  	   187.2330 	     0.0264
   17.0843  	     0.2131  	   192.7101 	     0.0272
   15.8934  	     0.3482  	   205.5163 	     0.0270
   14.4766  	     0.7077  	   277.6569 	     0.0158
   13.4997  	     0.0450  	   673.9484 	    -0.0646
   15.0669  	     0.1001  	   354.5759 	     0.0010
   13.9773  	     0.0372  	   356.9809 	     0.0006
   12.9771  	     0.0161  	   357.1969 	     0.0006
   11.9461  	     0.0099  	   363.4405 	    -0.0008
   10.8272  	     0.0147  	   120.6761 	     0.0614
    9.7312  	     0.0090  	   177.8327 	     0.0520
    8.7341  	     0.0108  	   182.6636 	     0.0564
    7.6228  	     0.0174  	   188.7616 	     0.0624
    6.6566  	     0.0262  	   356.8847 	     0.0013
    6.3163  	     0.0804  	   414.5725 	    -0.0240
    5.4793  	     0.0030  	     8.4929 	     0.1782
    4.4520  	     0.0018  	    52.2809 	     0.1920
   20.1554  	     0.0382  	     4.4583 	     0.0490
   19.2148  	     0.0327  	     4.4502 	     0.0514
   18.0958  	     0.0321  	     5.6122 	     0.0544
   18.0958  	     0.0321  	     5.6122 	     0.0544
   17.0065  	     0.0318  	     7.3540 	     0.0576
   16.0380  	     0.0315  	     6.6506 	     0.0612
   15.0380  	     0.0328  	     9.1925 	     0.0648
   13.8235  	     0.0313  	     9.6562 	     0.0704
   12.9456  	     0.0353  	    15.1301 	     0.0740
   12.0438  	     0.0480  	    27.8791 	     0.0766
   10.9177  	     0.0804  	    99.8097 	     0.0662
   10.7083  	     0.0662  	   123.3048 	     0.0614
   11.0469  	     0.0850  	    82.4123 	     0.0698
   10.4388  	     0.0040  	  -516.3583 	     0.2332
   10.0998  	     0.0305  	   161.4785 	     0.0546
    8.9625  	     0.0115  	   174.7996 	     0.0574
    7.8695  	     0.0049  	   178.4037 	     0.0641
    7.0484  	     0.0030  	   474.9457 	    -0.0453
    6.0984  	     0.0028  	  1264.5088 	    -0.4120
    4.7519  	     0.0024  	  1754.0336 	    -0.8149
    4.1833  	     0.0026  	   -95.7073 	     0.3026
    2.8770  	     0.0010  	  2099.0025 	    -1.6790
    1.9783  	     0.0008  	   847.7016 	    -0.6848
   20.1250  	     0.1262  	   186.1204 	     0.0240
   18.9630  	     0.1231  	   186.6027 	     0.0254
   18.0931  	     0.1529  	   188.0435 	     0.0264
   17.1773  	     0.2047  	   191.7998 	     0.0272
   16.3770  	     0.2809  	   198.4576 	     0.0274
   14.4703  	     0.6936  	   276.6509 	     0.0160
   14.6262  	     0.0556  	   350.5222 	     0.0018
   14.0026  	     0.0385  	   357.9836 	     0.0004
   12.9270  	     0.0157  	   358.1385 	     0.0004
   11.8785  	     0.0098  	     2.5042 	     0.0836
   10.9627  	     0.0139  	    97.9475 	     0.0664
   10.1384  	     0.0087  	   169.4787 	     0.0522
    9.1610  	     0.0093  	   181.9099 	     0.0540
    7.9546  	     0.0132  	   187.0341 	     0.0604
    6.9309  	     0.0705  	   195.5710 	     0.0659
    6.3802  	     0.0123  	     1.9153 	     0.1559
    6.0598  	     0.0067  	     6.5919 	     0.1620
    5.0303  	     0.0022  	    15.7476 	     0.1901
    4.0735  	     0.0015  	   799.2077 	    -0.2995
    2.9897  	     0.0012  	   599.3652 	    -0.2224
    7.2792  	     0.0273  	   190.7152 	     0.0646
    6.8602  	     0.0893  	   204.1645 	     0.0631
    6.5789  	     0.1477  	   288.2376 	     0.0303
    6.3025  	     0.1020  	   456.2017 	    -0.0424
