,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
97,0.196,3.743273,3.408614,0.326275724,0.855035949
98,0.198,3.56507,3.375506,0.328547866,0.546998126
99,0.2,3.39206,3.337853,0.332118374,0.183130825
100,0.202,3.240474,3.301173,0.334715108,-0.190473867
101,0.204,3.122646,3.270661,0.335364291,-0.528697814
102,0.206,3.048314,3.249563,0.335039699,-0.790318089
103,0.208,3.054481,3.240474,0.335364291,-0.944174119
104,0.21,3.116479,3.244045,0.336013474,-0.970141377
105,0.212,3.224569,3.260599,0.333092149,-0.866596928
106,0.214,3.389788,3.287865,0.329521641,-0.644576787
107,0.216,3.568315,3.322597,0.327898682,-0.332644809
108,0.218,3.744896,3.359925,0.327249499,0.032195786
109,0.22,3.909466,3.396604,0.324652766,0.406774467
110,0.222,4.020153,3.427116,0.321731441,0.742727079
111,0.224,4.085397,3.447241,0.321731441,0.998505718
112,0.226,4.077931,3.455356,0.323029807,1.143923
113,0.228,4.013986,3.450163,0.324003582,1.160802
114,0.23,3.892587,3.432635,0.324652766,1.047195
115,0.232,3.722174,3.404719,0.327249499,0.816409484
116,0.234,3.546892,3.369663,0.330820008,0.497335574
117,0.236,3.361224,3.331036,0.333092149,0.129573224
118,0.238,3.21548,3.296304,0.333416741,-0.242083872
119,0.24,3.105767,3.267415,0.334715108,-0.571868415
120,0.242,3.05513,3.24794,0.336987249,-0.819531263
121,0.244,3.06714,3.240474,0.336662658,-0.955534794
122,0.246,3.118751,3.245018,0.334065924,-0.963324971
123,0.248,3.25151,3.262871,0.332118374,-0.841603437
124,0.25,3.418028,3.292085,0.330495416,-0.604976693
125,0.252,3.587791,3.326492,0.329197049,-0.282982362
126,0.254,3.770539,3.364469,0.325626541,0.086727148
127,0.256,3.922125,3.4005,0.323029807,0.457735374
128,0.258,4.035734,3.429713,0.322705216,0.783950273
129,0.26,4.089617,3.448215,0.323678991,1.02707
130,0.262,4.075984,3.456005,0.322705216,1.15431
131,0.264,4.003923,3.448864,0.323029807,1.152363
132,0.266,3.855583,3.429064,0.325626541,1.020903
133,0.268,3.698154,3.4005,0.328547866,0.775186286
134,0.27,3.513459,3.365119,0.330495416,0.447023845
135,0.272,3.349863,3.326816,0.331793783,0.075041856
136,0.274,3.200549,3.292734,0.334065924,-0.293044688
137,0.276,3.099275,3.264494,0.336338066,-0.612117694
138,0.278,3.051235,3.245018,0.336338066,-0.84679689
139,0.28,3.056429,3.240799,0.335039699,-0.965272516
140,0.282,3.133033,3.248589,0.334390516,-0.95358725
141,0.284,3.277153,3.267091,0.333092149,-0.81433781
142,0.286,3.435556,3.296304,0.330495416,-0.563104459
143,0.288,3.610188,3.33201,0.326924907,-0.232021545
144,0.29,3.802674,3.370637,0.324652766,0.140609335
145,0.292,3.946794,3.404719,0.324328174,0.508696288
146,0.294,4.044823,3.43231,0.323354399,0.825173471
147,0.296,4.093837,3.450812,0.322380624,1.052063
148,0.298,4.061052,3.454707,0.321731441,1.162425
149,0.3,3.986071,3.446268,0.324328174,1.141326
150,0.302,3.842924,3.426467,0.326924907,0.992013872
151,0.304,3.670888,3.395306,0.328223274,0.73331391
152,0.306,3.491711,3.358627,0.329846232,0.395738348
153,0.308,3.323895,3.321298,0.332767558,0.021484269
154,0.31,3.184968,3.288514,0.335688883,-0.342382543
155,0.312,3.082072,3.260924,0.335688883,-0.65269156
156,0.314,3.050586,3.245018,0.335039699,-0.871141199
157,0.316,3.08337,3.240474,0.335364291,-0.971439739
158,0.318,3.166466,3.250861,0.335364291,-0.941577393
159,0.32,3.306042,3.271311,0.332118374,-0.784800045
160,0.322,3.465743,3.302147,0.328547866,-0.520258448
