,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
39,0.08,3.142122,2.886341,0.364252951,-0.586475009
40,0.082,3.838704,2.934381,0.359059484,0.002333377
41,0.084,4.399607,2.988264,0.357111934,0.626523143
42,0.086,4.637861,3.028189,0.357111934,1.063424
43,0.088,4.556387,3.042471,0.356787342,1.157556
44,0.09,4.106496,3.024294,0.358410301,0.877108217
45,0.092,3.474507,2.980149,0.362305401,0.320433074
46,0.094,2.859075,2.926266,0.367174277,-0.314143114
47,0.096,2.504618,2.880823,0.368797235,-0.803626313
48,0.098,2.53091,2.861023,0.367498868,-0.9763086
49,0.1,2.909712,2.872708,0.365226726,-0.770842639
50,0.102,3.472235,2.91101,0.362629993,-0.260260979
51,0.104,4.110716,2.964568,0.359059484,0.377561211
52,0.106,4.557037,3.013258,0.355813567,0.916708466
53,0.108,4.626825,3.039874,0.355164384,1.165022
54,0.11,4.323002,3.035655,0.358085709,1.036158
55,0.112,3.751712,3.001248,0.362305401,0.574913028
56,0.114,3.099924,2.948663,0.364577543,-0.055119297
57,0.116,2.618226,2.898351,0.366525093,-0.629970195
58,0.118,2.444244,2.865892,0.368797235,-0.949692161
59,0.12,2.725018,2.864593,0.367498868,-0.900678959
60,0.122,3.284294,2.893807,0.363279176,-0.500458396
61,0.124,3.903299,2.94347,0.359059484,0.110097735
62,0.126,4.431093,2.995405,0.357111934,0.718382676
63,0.128,4.645327,3.032733,0.357111934,1.104647
64,0.13,4.492442,3.041173,0.357111934,1.136133
65,0.132,3.997107,3.018776,0.359384076,0.799206101
66,0.134,3.353109,2.971709,0.363279176,0.213967023
67,0.136,2.776953,2.917502,0.36782346,-0.41184504
68,0.138,2.488388,2.877252,0.368472644,-0.857508386
69,0.14,2.561422,2.861996,0.366849685,-0.967869242
70,0.142,3.002546,2.878551,0.364902135,-0.70332774
71,0.144,3.699777,2.92302,0.362305401,-0.158014742
72,0.146,4.294762,2.976903,0.358734892,0.4804568
73,0.148,4.613192,3.021697,0.355813567,0.981951511
74,0.15,4.605402,3.041822,0.356138159,1.169566
75,0.152,4.239581,3.03111,0.359059484,0.979679365
76,0.154,3.629339,2.992808,0.362629993,0.476237106
77,0.156,3.00709,2.940224,0.365226726,-0.161260654
78,0.158,2.556229,2.892833,0.367174277,-0.705275285
79,0.16,2.494556,2.864918,0.369446419,-0.968193832
80,0.162,2.791559,2.868488,0.367174277,-0.856210023
81,0.164,3.334282,2.900299,0.362954585,-0.408599129
82,0.166,4.032812,2.952883,0.358410301,0.218511306
83,0.168,4.48173,3.003844,0.356787342,0.80212743
84,0.17,4.643055,3.036304,0.357111934,1.137107
85,0.172,4.435637,3.03955,0.357436526,1.104323
86,0.174,3.900702,3.011959,0.360033259,0.714162979
87,0.176,3.245668,2.962621,0.36392836,0.106527228
88,0.178,2.707165,2.909387,0.368148052,-0.503379716
89,0.18,2.463395,2.871734,0.368472644,-0.901977322
90,0.182,2.606216,2.861672,0.366849685,-0.948393798
91,0.184,3.080449,2.884393,0.364252951,-0.62802265
92,0.186,3.717305,2.929837,0.361656218,-0.052197974
93,0.188,4.304175,2.982096,0.358085709,0.578158947
94,0.19,4.636563,3.025917,0.355488975,1.038755
95,0.192,4.580408,3.042796,0.356138159,1.164372
96,0.194,4.1633,3.025592,0.360357851,0.913787136
97,0.196,3.521898,2.983719,0.363279176,0.373016927
98,0.198,2.90744,2.929837,0.365551318,-0.263506891
99,0.2,2.528313,2.884069,0.368472644,-0.772790184
100,0.202,2.508189,2.861023,0.369121827,-0.9763086
101,0.204,2.869787,2.871085,0.366200502,-0.80232795
102,0.206,3.566043,2.910686,0.361980809,-0.311221793
103,0.208,4.102601,2.960998,0.358085709,0.324328174
104,0.21,4.571968,3.010012,0.357111934,0.880354139
105,0.212,4.645976,3.038576,0.356787342,1.158205
106,0.214,4.369744,3.036953,0.357436526,1.061152
107,0.216,3.793585,3.005467,0.360357851,0.623277224
108,0.218,3.155106,2.954181,0.365551318,-0.001237129
109,0.22,2.651984,2.902246,0.369121827,-0.589071736
110,0.222,2.454955,2.868488,0.368472644,-0.935734759
111,0.224,2.663994,2.86297,0.366200502,-0.919829813
112,0.226,3.207365,2.890236,0.364252951,-0.544927364
113,0.228,3.837081,2.938276,0.361656218,0.05589096
114,0.23,4.372665,2.991185,0.357436526,0.672615202
115,0.232,4.63494,3.030461,0.355164384,1.085496
116,0.234,4.514514,3.041497,0.356787342,1.148143
117,0.236,4.049042,3.019425,0.360682443,0.839780118
118,0.238,3.41186,2.975605,0.363603768,0.267524637
119,0.24,2.830186,2.92302,0.36587591,-0.363156375
120,0.242,2.494231,2.8792,0.367498868,-0.831541122
121,0.244,2.535779,2.861996,0.368797235,-0.972738102
122,0.246,2.959699,2.875954,0.365551318,-0.738708145
123,0.248,3.530987,2.917178,0.361331626,-0.210273933
124,0.25,4.224,2.972034,0.358734892,0.428846706
125,0.252,4.601831,3.018127,0.357436526,0.950141468
126,0.254,4.608648,3.041173,0.357436526,1.168592
127,0.256,4.285349,3.033707,0.357761117,1.009542
128,0.258,3.677704,2.996379,0.361331626,0.526873431
129,0.26,3.059999,2.944443,0.36587591,-0.107703092
130,0.262,2.591934,2.893807,0.368797235,-0.668271924
131,0.264,2.468913,2.863944,0.368472644,-0.960403655
132,0.266,2.738326,2.865242,0.36587591,-0.87990515
133,0.268,3.32779,2.898026,0.364252951,-0.455989425
134,0.27,3.997107,2.949312,0.361007034,0.164304516
135,0.272,4.488222,3.000598,0.357111934,0.76025505
136,0.274,4.63916,3.034032,0.355164384,1.122175
137,0.276,4.482055,3.040848,0.358085709,1.121526
138,0.278,3.949716,3.015205,0.361656218,0.758307498
139,0.28,3.310911,2.967165,0.364252951,0.160409418
140,0.282,2.746116,2.913282,0.366525093,-0.458586153
141,0.284,2.49488,2.87498,0.368148052,-0.880554331
142,0.286,2.58674,2.861023,0.369121827,-0.959754474
143,0.288,3.063245,2.881797,0.365551318,-0.667298151
144,0.29,3.691986,2.925617,0.361007034,-0.105755544
145,0.292,4.331766,2.980798,0.357436526,0.529470166
146,0.294,4.619359,3.024294,0.357436526,1.01084
