,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.0002,4.195111,2.965867,0.457735374,1.163723
1,0.0004,4.22757,2.968139,0.45708619,1.171189
2,0.0006,4.231466,2.969437,0.457735374,1.160802
3,0.0008,4.226272,2.970086,0.457410782,1.13451
4,0.001,4.224,2.970736,0.457410782,1.09069
5,0.0012,4.203226,2.970736,0.457735374,1.032588
6,0.0014,4.165897,2.970736,0.458384557,0.958256274
7,0.0016,4.119155,2.970411,0.458384557,0.871914742
8,0.0018,4.071764,2.969437,0.458384557,0.771940365
9,0.002,4.016907,2.968139,0.458384557,0.662228259
10,0.0022,3.969841,2.967165,0.459033741,0.543103024
11,0.0024,3.895508,2.965867,0.459358333,0.416836811
12,0.0026,3.827018,2.963919,0.459033741,0.285377176
13,0.0028,3.72899,2.961647,0.459682925,0.151320855
14,0.003,3.646543,2.960024,0.459682925,0.015966215
15,0.0032,3.560525,2.956778,0.460007516,-0.11711624
16,0.0034,3.483921,2.954831,0.459682925,-0.247926514
17,0.0036,3.408939,2.952558,0.460332108,-0.372244926
18,0.0038,3.331361,2.949962,0.460981292,-0.489422302
19,0.004,3.251835,2.947689,0.4606567,-0.59718651
20,0.0042,3.177827,2.944443,0.4606567,-0.693914604
21,0.0044,3.109662,2.942171,0.460981292,-0.778308228
22,0.0046,3.05156,2.939575,0.460981292,-0.849069025
23,0.0048,2.991834,2.937302,0.461305883,-0.90554782
24,0.005,2.968788,2.936004,0.461305883,-0.945147891
25,0.0052,2.933083,2.933732,0.461305883,-0.968843014
26,0.0054,2.909712,2.931784,0.460981292,-0.975984009
27,0.0056,2.901922,2.930486,0.4606567,-0.965921697
28,0.0058,2.899325,2.929837,0.4606567,-0.939629848
29,0.006,2.911659,2.929188,0.460332108,-0.896459279
30,0.0062,2.938925,2.929837,0.460007516,-0.838032938
31,0.0064,2.961972,2.929512,0.460007516,-0.764675413
32,0.0066,3.003844,2.929512,0.460007516,-0.67768506
33,0.0068,3.044743,2.930161,0.460007516,-0.579009416
34,0.007,3.118751,2.931784,0.460007516,-0.469622249
35,0.0072,3.174581,2.932758,0.459682925,-0.350821912
36,0.0074,3.233333,2.934381,0.459033741,-0.225205129
37,0.0076,3.314806,2.936653,0.459033741,-0.095044031
38,0.0078,3.398552,2.938276,0.458709149,0.039336797
39,0.008,3.474832,2.940548,0.458384557,0.173068488
40,0.0082,3.564745,2.943145,0.458384557,0.308423183
41,0.0084,3.644271,2.945742,0.458384557,0.438584459
42,0.0086,3.724771,2.948663,0.458384557,0.562903128
43,0.0088,3.799428,2.95126,0.458059966,0.681054594
44,0.009,3.881875,2.953857,0.458059966,0.789468338
45,0.0092,3.941601,2.955804,0.458059966,0.886845983
46,0.0094,4.021127,2.958401,0.458059966,0.972538334
47,0.0096,4.074036,2.960349,0.457410782,1.042975
48,0.0098,4.119155,2.962945,0.458384557,1.09848
49,0.01,4.161677,2.964568,0.458059966,1.139703
50,0.0102,4.201603,2.966516,0.458384557,1.163074
51,0.0104,4.219456,2.968139,0.458384557,1.17054
52,0.0106,4.230816,2.968463,0.458709149,1.160477
53,0.0108,4.230492,2.970411,0.458059966,1.134185
54,0.011,4.225623,2.970411,0.458709149,1.091339
55,0.0112,4.204524,2.97106,0.458709149,1.032913
56,0.0114,4.168494,2.970736,0.459033741,0.958905459
57,0.0116,4.130516,2.970086,0.459358333,0.871914742
58,0.0118,4.080204,2.969113,0.459682925,0.772264957
59,0.012,4.022425,2.968463,0.459358333,0.661903667
60,0.0122,3.965621,2.967165,0.459682925,0.54245384
61,0.0124,3.888692,2.965218,0.460007516,0.416512219
62,0.0126,3.816956,2.96327,0.460332108,0.285701768
63,0.0128,3.735482,2.961647,0.460007516,0.150996264
64,0.013,3.643622,2.95905,0.4606567,0.015966215
65,0.0132,3.565719,2.956778,0.4606567,-0.117440831
66,0.0134,3.481648,2.954181,0.460007516,-0.248575696
67,0.0136,3.405044,2.951909,0.4606567,-0.372569517
68,0.0138,3.32357,2.949637,0.460332108,-0.489746893
69,0.014,3.248264,2.94704,0.460332108,-0.596861919
70,0.0142,3.172634,2.944119,0.460332108,-0.693914604
71,0.0144,3.114856,2.942171,0.460332108,-0.778632819
72,0.0146,3.054481,2.939575,0.460981292,-0.849393616
73,0.0148,3.002871,2.937302,0.460007516,-0.90554782
74,0.015,2.964893,2.935679,0.460332108,-0.946121663
75,0.0152,2.930486,2.933732,0.460007516,-0.969167604
76,0.0154,2.915879,2.932758,0.459682925,-0.975984009
77,0.0156,2.907115,2.931135,0.459682925,-0.966246288
78,0.0158,2.900948,2.930161,0.460007516,-0.939305258
79,0.016,2.911659,2.929188,0.459682925,-0.896459279
80,0.0162,2.928214,2.928538,0.459682925,-0.838032938
81,0.0164,2.950286,2.928863,0.459682925,-0.765324595
82,0.0166,3.014881,2.929188,0.459033741,-0.67768506
83,0.0168,3.060973,2.930161,0.459033741,-0.578684825
84,0.017,3.116479,2.931135,0.458709149,-0.469622249
85,0.0172,3.164843,2.932109,0.459033741,-0.350497321
86,0.0174,3.247615,2.934056,0.458709149,-0.225205129
87,0.0176,3.321623,2.935679,0.459358333,-0.094394848
88,0.0178,3.394008,2.937627,0.458709149,0.039336797
89,0.018,3.482298,2.940224,0.458709149,0.172419305
90,0.0182,3.569938,2.943145,0.458709149,0.307124816
91,0.0184,3.645569,2.946391,0.458709149,0.437286092
92,0.0186,3.720876,2.948014,0.459033741,0.562903128
93,0.0188,3.80527,2.95126,0.459033741,0.680730002
94,0.019,3.878629,2.953857,0.459033741,0.789143746
95,0.0192,3.956532,2.956129,0.458709149,0.886845983
96,0.0194,4.025347,2.95905,0.459033741,0.972213742
97,0.0196,4.080853,2.960998,0.459358333,1.043299
98,0.0198,4.121427,2.962621,0.459033741,1.099129
99,0.02,4.177907,2.965542,0.459033741,1.139703
100,0.0202,4.209718,2.966841,0.459358333,1.164048
101,0.0204,4.227895,2.968788,0.459358333,1.17054
102,0.0206,4.233089,2.969113,0.459033741,1.160802
103,0.0208,4.234387,2.970086,0.459358333,1.13451
104,0.021,4.221079,2.970736,0.460007516,1.091339
105,0.0212,4.194137,2.970736,0.459682925,1.032588
106,0.0214,4.161677,2.970736,0.459358333,0.958580867
107,0.0216,4.116883,2.97106,0.459358333,0.87159015
108,0.0218,4.075335,2.970086,0.459358333,0.771940365
109,0.022,4.026321,2.969437,0.459358333,0.662228259
110,0.0222,3.962375,2.967814,0.459682925,0.543103024
111,0.0224,3.896807,2.966191,0.459358333,0.417161403
112,0.0226,3.815008,2.964244,0.459358333,0.285701768
113,0.0228,3.734184,2.961972,0.459358333,0.151320855
114,0.023,3.650763,2.960024,0.459358333,0.016290807
115,0.0232,3.565719,2.957427,0.459033741,-0.116791648
116,0.0234,3.491386,2.954831,0.459358333,-0.248251105
117,0.0236,3.406991,2.952558,0.459358333,-0.372569517
118,0.0238,3.326816,2.949637,0.459682925,-0.489422302
119,0.024,3.25216,2.94704,0.459033741,-0.59718651
120,0.0242,3.186591,2.944768,0.459358333,-0.693914604
121,0.0244,3.119076,2.942171,0.459682925,-0.778632819
122,0.0246,3.053183,2.93925,0.459033741,-0.849393616
123,0.0248,3.001572,2.937302,0.459033741,-0.904898638
