,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,0.004,3.557604,2.993133,0.368472644,0.956308721
1,0.008,3.554358,2.984693,0.371069377,1.029017
2,0.012,3.553384,2.976903,0.369446419,1.087769
3,0.016,3.555007,2.969437,0.372043152,1.130615
4,0.02,3.545269,2.964244,0.370744785,1.156907
5,0.024,3.540725,2.961647,0.372367744,1.167618
6,0.028,3.547541,2.959375,0.371393969,1.159828
7,0.032,3.544295,2.958076,0.372692336,1.136133
8,0.036,3.546568,2.958076,0.371393969,1.095234
9,0.04,3.56085,2.960673,0.371718561,1.039729
10,0.044,3.549814,2.964568,0.371069377,0.968967819
11,0.048,3.554358,2.970086,0.370744785,0.883924653
12,0.052,3.54462,2.976254,0.36977101,0.787520786
13,0.056,3.549489,2.983395,0.369121827,0.678457858
14,0.06,3.549164,2.991834,0.368797235,0.561604761
15,0.064,3.548515,3.000923,0.367174277,0.437286092
16,0.068,3.563447,3.012608,0.366849685,0.306800224
17,0.072,3.56507,3.022346,0.36587591,0.173393079
18,0.076,3.553059,3.034356,0.36587591,0.038687615
19,0.08,3.562148,3.047015,0.362629993,-0.095044031
20,0.084,3.56864,3.058376,0.363603768,-0.225205129
21,0.088,3.567666,3.070386,0.361007034,-0.349848139
22,0.092,3.571886,3.082072,0.361980809,-0.467674702
23,0.096,3.583571,3.093108,0.359384076,-0.577061871
24,0.1,3.57708,3.103495,0.360357851,-0.675088332
25,0.104,3.582922,3.112908,0.357761117,-0.761429505
26,0.108,3.573184,3.122646,0.358734892,-0.83478703
27,0.112,3.580975,3.129138,0.356462751,-0.89256419
28,0.116,3.586168,3.13563,0.358085709,-0.935734759
29,0.12,3.586817,3.141473,0.355488975,-0.961702018
30,0.124,3.584545,3.144719,0.357436526,-0.97176433
31,0.128,3.583571,3.146017,0.355813567,-0.964947925
32,0.132,3.574807,3.14764,0.356787342,-0.940928211
33,0.136,3.582922,3.145043,0.356462751,-0.900678959
34,0.14,3.582598,3.143745,0.357111934,-0.845498527
35,0.144,3.57286,3.140174,0.357111934,-0.774413138
36,0.148,3.569289,3.135954,0.357436526,-0.690019514
37,0.152,3.568315,3.128813,0.358085709,-0.592966828
38,0.156,3.570912,3.121997,0.358085709,-0.486176391
39,0.16,3.569614,3.114207,0.359708668,-0.369323606
40,0.164,3.574158,3.105443,0.359708668,-0.245329784
41,0.168,3.567666,3.095055,0.361331626,-0.116142466
42,0.172,3.577729,3.084993,0.361331626,0.016290807
43,0.176,3.577729,3.073957,0.363279176,0.151320855
44,0.18,3.567991,3.062596,0.362954585,0.284727993
45,0.184,3.563771,3.049612,0.365551318,0.415538444
46,0.188,3.56864,3.037602,0.364902135,0.541480065
47,0.192,3.554358,3.025592,0.367498868,0.660605299
48,0.196,3.551761,3.014231,0.366849685,0.769992813
49,0.2,3.555981,3.004169,0.369446419,0.86866882
50,0.204,3.555981,2.993133,0.368472644,0.956308721
51,0.208,3.555656,2.985018,0.371069377,1.029342
52,0.212,3.551437,2.976903,0.370420194,1.088093
53,0.216,3.548191,2.969762,0.372367744,1.130615
54,0.22,3.550138,2.965542,0.371069377,1.157231
55,0.224,3.543971,2.960024,0.372692336,1.166969
56,0.228,3.553709,2.95905,0.371718561,1.160153
57,0.232,3.5404,2.957103,0.372692336,1.136133
58,0.236,3.55241,2.958076,0.371718561,1.096208
59,0.24,3.54884,2.960998,0.371718561,1.040378
60,0.244,3.549164,2.964893,0.371069377,0.968643227
61,0.248,3.547217,2.969762,0.371393969,0.88489843
62,0.252,3.56085,2.976254,0.36977101,0.787196194
63,0.256,3.551761,2.983719,0.369121827,0.679431634
64,0.26,3.549489,2.99151,0.369446419,0.561929353
65,0.264,3.56442,3.001572,0.367498868,0.4369615
66,0.268,3.557604,3.011959,0.367498868,0.307449408
67,0.272,3.562473,3.022671,0.365551318,0.174042262
68,0.276,3.563122,3.03533,0.365551318,0.039336797
69,0.28,3.563771,3.046042,0.362954585,-0.094719439
70,0.284,3.578378,3.059025,0.36392836,-0.224880538
71,0.288,3.574483,3.071035,0.361007034,-0.349523548
72,0.292,3.576755,3.082396,0.361980809,-0.467674702
73,0.296,3.56864,3.092783,0.359384076,-0.577061871
74,0.3,3.581299,3.10382,0.360357851,-0.675412923
75,0.304,3.579676,3.113882,0.357761117,-0.761429505
76,0.308,3.566693,3.121672,0.358734892,-0.83446244
77,0.312,3.586493,3.129463,0.356787342,-0.893213371
78,0.316,3.578703,3.13563,0.357761117,-0.935085578
79,0.32,3.586493,3.140499,0.356138159,-0.961377427
80,0.324,3.580326,3.143745,0.357111934,-0.97176433
81,0.328,3.568965,3.146342,0.355813567,-0.964298744
82,0.332,3.579352,3.147964,0.356787342,-0.94060362
83,0.336,3.577404,3.146017,0.356138159,-0.900678959
84,0.34,3.583896,3.143745,0.357111934,-0.845173936
85,0.344,3.580975,3.139525,0.356787342,-0.77506232
86,0.348,3.582922,3.135954,0.357111934,-0.690344105
87,0.352,3.577404,3.129463,0.357761117,-0.593291419
88,0.356,3.58844,3.122646,0.358734892,-0.486176391
89,0.36,3.569289,3.114207,0.360033259,-0.369323606
90,0.364,3.573509,3.105118,0.360033259,-0.245329784
91,0.368,3.57286,3.094731,0.361331626,-0.116142466
92,0.372,3.567991,3.084019,0.361656218,0.016290807
93,0.376,3.56085,3.072658,0.363279176,0.151645447
94,0.38,3.562148,3.061298,0.362629993,0.285052584
95,0.384,3.573184,3.049937,0.365551318,0.416187628
96,0.388,3.567666,3.037927,0.364577543,0.541155473
97,0.392,3.561174,3.025268,0.367498868,0.660929891
98,0.396,3.558902,3.013907,0.366849685,0.769668221
99,0.4,3.559227,3.003844,0.36977101,0.86866882
100,0.404,3.55241,2.993457,0.368148052,0.955984128
101,0.408,3.54884,2.984369,0.371393969,1.029017
102,0.412,3.552735,2.977552,0.36977101,1.088418
103,0.416,3.551112,2.97106,0.371718561,1.130615
104,0.42,3.551761,2.964893,0.371069377,1.157231
105,0.424,3.552735,2.961322,0.372692336,1.166969
106,0.428,3.547217,2.95905,0.371718561,1.159828
107,0.432,3.545594,2.958076,0.373016927,1.136457
108,0.436,3.550787,2.957427,0.371069377,1.095883
109,0.44,3.555656,2.960673,0.372043152,1.040378
110,0.444,3.551761,2.964893,0.371069377,0.968967819
111,0.448,3.554033,2.970411,0.371069377,0.883924653
112,0.452,3.538128,2.97528,0.370095602,0.787196194
113,0.456,3.562797,2.98307,0.36977101,0.67878245
114,0.46,3.557279,2.992159,0.368797235,0.562253945
115,0.464,3.553059,3.001897,0.36782346,0.437286092
116,0.468,3.563771,3.011959,0.367498868,0.307449408
117,0.472,3.567017,3.022022,0.36587591,0.173393079
118,0.476,3.566693,3.034681,0.365551318,0.039012206
119,0.48,3.555981,3.046366,0.363279176,-0.094394848
120,0.484,3.567666,3.057402,0.363603768,-0.224555947
121,0.488,3.568965,3.069737,0.361007034,-0.349523548
122,0.492,3.569614,3.082396,0.361980809,-0.467674702
123,0.496,3.578703,3.093433,0.359384076,-0.57673728
124,0.5,3.573834,3.103495,0.360357851,-0.674763742
125,0.504,3.581299,3.113557,0.357761117,-0.761429505
126,0.508,3.580326,3.122321,0.359059484,-0.83446244
127,0.512,3.586168,3.128813,0.356787342,-0.89288878
128,0.516,3.574807,3.135954,0.357761117,-0.935410169
129,0.52,3.578378,3.140499,0.356138159,-0.961702018
130,0.524,3.573509,3.143096,0.357436526,-0.971439739
131,0.528,3.584545,3.145043,0.355813567,-0.964623334
132,0.532,3.57286,3.146666,0.357111934,-0.94060362
133,0.536,3.58065,3.146342,0.356138159,-0.900678959
134,0.54,3.57708,3.144394,0.357111934,-0.845173936
135,0.544,3.57286,3.140174,0.356787342,-0.774413138
136,0.548,3.567666,3.134981,0.357436526,-0.690019514
137,0.552,3.580975,3.130112,0.358085709,-0.593291419
138,0.556,3.575132,3.12362,0.358734892,-0.486500982
139,0.56,3.576755,3.114531,0.359384076,-0.369972788
140,0.564,3.569289,3.105767,0.360033259,-0.245329784
141,0.568,3.569938,3.09538,0.361656218,-0.116467057
