,Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0,2e-05,3.664071,2.954181,0.464551801,0.9069707
1,4e-05,3.810789,2.97106,0.464551801,0.333741333
2,6e-05,3.864347,2.980149,0.464876393,-0.330697262
3,8e-05,3.803323,2.981772,0.46422721,-0.828944396
4,0.0001,3.648491,2.977228,0.464551801,-0.977282372
5,0.00012,3.459251,2.969437,0.464876393,-0.716960557
6,0.00014,3.310262,2.960349,0.464876393,-0.145031091
7,0.00016,3.257678,2.955804,0.464551801,0.518109451
8,0.00018,3.320325,2.955804,0.464551801,1.020578
9,0.0002,3.475481,2.960998,0.464876393,1.169241
10,0.00022,3.663422,2.969762,0.464551801,0.907619884
11,0.00024,3.811438,2.977877,0.464551801,0.334065924
12,0.00026,3.863698,2.98307,0.464876393,-0.330372671
13,0.00028,3.803972,2.983719,0.464551801,-0.828944396
14,0.0003,3.65336,2.977877,0.46422721,-0.977606963
15,0.00032,3.469963,2.969113,0.464551801,-0.716960557
16,0.00034,3.325843,2.960998,0.464551801,-0.144706499
17,0.00036,3.276504,2.956129,0.464551801,0.518109451
18,0.00038,3.339476,2.956129,0.464876393,1.019929
19,0.0004,3.491062,2.961647,0.464876393,1.168917
20,0.00042,3.67673,2.970086,0.464876393,0.907619884
21,0.00044,3.82572,2.978201,0.465200985,0.334390516
22,0.00046,3.881551,2.984369,0.464551801,-0.33004808
23,0.00048,3.820527,2.984369,0.464551801,-0.828944396
24,0.0005,3.668616,2.978851,0.46422721,-0.977931554
25,0.00052,3.481973,2.970086,0.46422721,-0.716960557
26,0.00054,3.332984,2.961972,0.464551801,-0.144706499
27,0.00056,3.27975,2.956453,0.464551801,0.517784859
28,0.00058,3.342397,2.957103,0.464551801,1.019929
29,0.0006,3.496904,2.961647,0.464551801,1.169241
30,0.00062,3.683547,2.970411,0.46422721,0.9069707
31,0.00064,3.829615,2.978201,0.46422721,0.334390516
32,0.00066,3.878305,2.982746,0.46422721,-0.329723489
33,0.00068,3.81371,2.982746,0.464551801,-0.828944396
34,0.0007,3.65693,2.977228,0.464551801,-0.978256144
35,0.00072,3.46834,2.968788,0.46422721,-0.716635966
36,0.00074,3.318377,2.959699,0.46422721,-0.145031091
37,0.00076,3.262222,2.955155,0.464551801,0.517784859
38,0.00078,3.32,2.954181,0.464876393,1.019604
