Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
.005,8.3501,7.2087,2.6741,.0015
.01,8.3573,7.2035,2.6909,.0031
.015,8.356,7.2081,2.6903,.0034
.02,8.344,7.2084,2.6517,.0037
.025,8.3475,7.2084,2.6864,.0037
.03,8.3475,7.2091,2.6779,.0002
.035,8.3316,7.2152,2.6844,.0033
.04,8.3423,7.2081,2.6997,.0039
.045,8.3427,7.2087,2.6919,.0049
.05,8.3355,7.2081,2.6851,.0037
.055,8.3485,7.2087,2.6598,.0078
.06,8.3566,7.2097,2.6951,.0033
.065,8.355,7.2078,2.7143,.0099
.07,8.3641,7.2081,2.6945,.0133
.075,8.38,7.2071,2.7399,.017
.08,8.3605,7.2055,2.735,.0235
.085,8.3602,7.1964,2.7461,.0293
.09,8.3595,7.2048,2.7837,.039
.095,8.3433,7.2013,2.7509,.0439
.1,8.341,7.2016,2.6909,.047
.105,8.3381,7.2006,2.7402,.0562
.11,8.329,7.1987,2.7694,.0593
.115,8.3239,7.1948,2.6783,.0578
.12,8.319,7.1925,2.6384,.0562
.125,8.3047,7.1902,2.6682,.0612
.13,8.3024,7.1863,2.7227,.0628
.135,8.2885,7.186,2.7269,.0649
.14,8.2869,7.1828,2.7165,.0638
.145,8.2885,7.1812,2.6948,.0569
.15,8.2882,7.1792,2.6332,.0444
.155,8.2917,7.1773,2.5693,.035
.16,8.2914,7.1763,2.6014,.0418
.165,8.2917,7.174,2.6494,.0458
.17,8.295,7.1743,2.7169,.0515
.175,8.2924,7.1701,2.7658,.0622
.18,8.2823,7.1698,2.7759,.0612
.185,8.2882,7.1659,2.7195,.0625
.19,8.282,7.1623,2.7581,.075
.195,8.2651,7.1607,2.8031,.0884
.2,8.259,7.1539,2.7431,.0947
.205,8.257,7.1513,2.7084,.101
.21,8.2376,7.1484,2.7357,.1176
.215,8.2285,7.1439,2.833,.1312
.22,8.2223,7.139,2.7594,.1208
.225,8.2214,7.1345,2.6974,.1108
.23,8.2171,7.1299,2.6656,.0936
