Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
.235,8.2051,7.1286,2.4321,.0653
.24,8.2006,7.125,2.4402,.0679
.245,8.2003,7.1228,2.5729,.08
.25,8.1948,7.1195,2.7405,.0889
.255,8.1798,7.1182,2.8382,.0976
.26,8.1763,7.1127,2.8638,.0942
.265,8.1701,7.1117,2.8168,.0931
.27,8.1568,7.1049,2.7843,.1125
.275,8.1458,7.0997,2.7525,.1227
.28,8.1383,7.0926,2.7791,.1477
.285,8.1143,7.0897,2.7574,.1634
.29,8.1082,7.0829,2.8083,.1767
.295,8.0971,7.0761,2.831,.1906
.3,8.0822,7.0689,2.7736,.1805
.305,8.0906,7.0654,2.6465,.1556
.31,8.1344,7.0563,2.568,.1393
.315,8.0478,7.0524,2.365,.1124
.32,8.0329,7.0469,2.3416,.1041
.325,8.0261,7.044,2.4788,.1122
.33,8.0238,7.0391,2.5914,.0862
.335,8.0164,7.0384,2.6244,.0653
.34,8.0254,7.0368,2.7211,.0645
.345,8.0216,7.0329,2.7529,.0745
.35,8.0147,7.0287,2.7983,.1025
.355,8.0044,7.0213,3.0169,.1563
.36,7.9852,7.0187,3.0723,.1823
.365,7.9706,7.0105,2.904,.1904
.37,7.9486,7.0028,2.8323,.2184
.375,7.9405,6.9947,2.8674,.2424
.38,7.9171,6.9836,2.7931,.2393
.385,7.9002,6.9758,2.7295,.2346
.39,7.8766,6.9671,2.6507,.2158
.395,7.8642,6.9587,2.35,.1773
.4,7.8344,6.9522,2.2848,.1729
.405,7.8808,6.9428,2.5229,.1724
.41,7.8964,6.9398,2.5875,.1444
.415,7.9087,6.9356,2.389,.091
.42,7.8042,6.9317,2.5041,.0819
.425,7.7832,6.9278,2.7065,.1044
.43,7.7773,6.9158,2.8537,.1313
.435,7.7812,6.9171,3.0503,.1752
.44,7.7721,6.9094,3.0552,.1924
.445,7.7553,6.9038,2.8249,.1854
.45,7.7497,6.8948,2.7889,.2115
.455,7.7342,6.8831,2.8716,.2426
.46,7.6998,6.8766,2.8466,.255
.465,7.6846,6.8691,2.7902,.2618
.47,7.6696,6.8565,2.7328,.2565
.475,7.633,6.8445,2.5845,.2416
.48,7.6099,6.8364,2.5537,.2403
.485,7.596,6.8279,2.6799,.2411
.49,7.5759,6.8153,2.579,.2166
.495,7.5642,6.8101,2.4298,.1899
.5,7.5493,6.8036,2.5093,.1848
.505,7.5246,6.7936,2.6647,.1985
.51,7.4912,6.7861,2.6916,.1901
.515,7.4724,6.7803,2.724,.187
.52,7.4747,6.7715,2.7704,.1893
.525,7.4659,6.7618,2.6588,.1864
.53,7.4494,6.754,2.7195,.212
.535,7.4329,6.7452,2.9381,.2479
.54,7.4423,6.7342,2.882,.2471
.545,7.4163,6.7251,2.7396,.2438
.55,7.3981,6.7125,2.7269,.254
.555,7.3641,6.705,2.6935,.26
.56,7.3385,6.694,2.6238,.2571
.565,7.3112,6.6849,2.6935,.2607
.57,7.2973,6.6758,2.6601,.254
.575,7.2856,6.6671,2.4662,.2262
.58,7.26,6.6573,2.5372,.2285
.585,7.2441,6.6489,2.7272,.238
.59,7.2279,6.6401,2.7354,.2296
.595,7.2074,6.6324,2.6685,.223
.6,7.1737,6.6239,2.7279,.2257
.605,7.1523,6.6158,2.7104,.2358
.61,7.1332,6.6045,2.8009,.2628
.615,7.1117,6.5938,2.9394,.2879
.62,7.1001,6.5827,2.8677,.2976
.625,7.0907,6.5694,2.7645,.3007
.63,7.0764,6.5578,2.7808,.3122
.635,7.0514,6.5454,2.7928,.3271
.64,7.0271,6.5315,2.7529,.324
.645,6.9972,6.5185,2.7302,.3177
.65,6.9703,6.502,2.6407,.3044
.655,6.9619,6.4952,2.4817,.2804
.66,6.9428,6.4841,2.5343,.2787
.665,6.9136,6.4728,2.6358,.2863
.67,6.8964,6.4624,2.6445,.2814
.675,6.8487,6.4572,2.6718,.2746
.68,6.8237,6.4403,2.701,.2764
.685,6.7981,6.43,2.7341,.2751
.69,6.7871,6.418,2.7347,.2824
.695,6.7611,6.4063,2.7276,.2916
.7,6.7553,6.3862,2.7782,.3023
.705,6.7251,6.3829,2.7905,.3165
.71,6.6729,6.368,2.8018,.3305
.715,6.6495,6.357,2.8544,.3433
.72,6.623,6.344,2.8239,.3491
.725,6.5996,6.3304,2.7159,.3457
.73,6.5769,6.3174,2.6228,.3386
.735,6.5539,6.3048,2.5914,.3374
.74,6.5153,6.2895,2.6218,.3394
.745,6.4942,6.2743,2.6659,.3258
.75,6.4721,6.2623,2.6235,.3112
.755,6.4494,6.2493,2.5498,.3018
.76,6.4368,6.2367,2.5566,.2963
.765,6.4176,6.2253,2.6413,.2966
.77,6.392,6.2139,2.702,.3013
.775,6.3674,6.2006,2.7746,.3097
.78,6.3362,6.1854,2.774,.3112
.785,6.3025,6.175,2.7052,.3225
.79,6.2872,6.1617,2.7996,.3467
.795,6.2538,6.1458,2.9416,.3687
.8,6.213,6.1329,2.8748,.3784
.805,6.1848,6.1166,2.7882,.3875
.81,6.1491,6.1004,2.7292,.4014
.815,6.1089,6.0839,2.7519,.4166
.82,6.0842,6.0664,2.7905,.4344
.825,6.0502,6.0505,2.7678,.4221
.83,6.0135,6.0349,2.5271,.3734
.835,5.9927,6.0174,2.3124,.3533
.84,5.9707,6.0051,2.5164,.3536
.845,5.9428,5.9892,2.6767,.3552
.85,5.9178,5.9785,2.6309,.3499
.855,5.8974,5.9652,2.7581,.3562
.86,5.8744,5.9525,2.7474,.3538
.865,5.8481,5.9389,2.6257,.3518
.87,5.8225,5.9237,2.7412,.3649
.875,5.7897,5.9081,2.8353,.3823
.88,5.7569,5.8932,2.7645,.3841
.885,5.7385,5.876,2.7493,.3981
.89,5.6963,5.8552,2.8025,.4053
.895,5.6522,5.8371,2.7581,.4117
.9,5.6071,5.8241,2.724,.4205
.905,5.5747,5.8082,2.7587,.4185
.91,5.5432,5.7913,2.6857,.4053
.915,5.5085,5.7754,2.5336,.379
.92,5.4738,5.7732,2.6384,.3972
.925,5.4465,5.7423,2.7159,.4017
.93,5.4092,5.7274,2.6095,.3938
.935,5.3791,5.7109,2.5897,.3943
.94,5.3554,5.693,2.6225,.3915
.945,5.3243,5.6801,2.7405,.4017
.95,5.299,5.6632,2.7967,.4142
.955,5.2789,5.6463,2.7749,.4121
.96,5.2441,5.6304,2.7162,.4232
.965,5.2091,5.6136,2.7298,.437
.97,5.1819,5.599,2.7928,.447
.975,5.1381,5.575,2.8184,.4635
.98,5.1018,5.5565,2.7756,.4699
.985,5.0557,5.5387,2.7548,.458
.99,5.0268,5.5189,2.6267,.4441
.995,4.984,5.5033,2.5245,.4394
1,4.9415,5.4858,2.6621,.4482
1.005,4.9013,5.4679,2.652,.4321
1.01,4.8669,5.4517,2.5112,.4035
1.015,4.8397,5.4342,2.436,.3818
1.02,4.8024,5.418,2.5125,.3716
1.025,4.7842,5.4028,2.5547,.3685
1.03,4.7583,5.3872,2.7003,.3747
1.035,4.7288,5.3736,2.7924,.3727
1.04,4.7031,5.3606,2.6601,.3611
1.045,4.6769,5.344,2.5972,.3622
1.05,4.6448,5.3278,2.7392,.3813
1.055,4.6367,5.3139,2.8246,.3899
1.06,4.6084,5.2967,2.8203,.3934
1.065,4.5633,5.2763,2.7817,.3857
1.07,4.5393,5.2633,2.7347,.3871
1.075,4.5043,5.2458,2.6822,.3951
1.08,4.478,5.2299,2.7289,.4091
1.085,4.4492,5.2127,2.6296,.3875
1.09,4.4038,5.1968,2.4756,.3612
1.095,4.3623,5.1838,2.305,.3442
1.1,4.3282,5.1695,2.4152,.3363
1.105,4.3065,5.1569,2.5456,.3382
1.11,4.287,5.1436,2.6196,.3301
1.115,4.2666,5.1339,2.6543,.3076
1.12,4.2419,5.118,2.5894,.2953
1.125,4.202,5.107,2.6137,.3021
1.13,4.1784,5.0937,2.7331,.3173
1.135,4.1582,5.081,2.9128,.3347
1.14,4.1407,5.0648,2.9232,.3488
1.145,4.1239,5.0544,2.7999,.3567
1.15,4.0999,5.0398,2.7263,.363
1.155,4.0522,5.0246,2.7392,.3807
1.16,4.0266,5.01,2.7425,.3852
1.165,3.9893,5.0002,2.7315,.3674
1.17,3.9756,4.9801,2.6076,.3523
1.175,3.9588,4.9649,2.494,.3407
1.18,3.9315,4.9516,2.5553,.34
1.185,3.8926,4.937,2.5703,.3301
1.19,3.8738,4.9234,2.5482,.3067
1.195,3.8475,4.913,2.5025,.2914
1.2,3.8297,4.902,2.5437,.2791
1.205,3.8209,4.8896,2.6303,.2731
1.21,3.7891,4.878,2.6867,.2778
1.215,3.7648,4.863,2.7415,.2778
1.22,3.7188,4.8569,2.6961,.2759
1.225,3.6954,4.8465,2.6802,.2838
1.23,3.6659,4.8345,2.7143,.2979
1.235,3.6438,4.8225,2.8443,.3152
1.24,3.6341,4.817,2.857,.3203
1.245,3.6224,4.7972,2.7253,.3148
1.25,3.5936,4.7852,2.5719,.2974
1.255,3.5488,4.7709,2.5534,.2898
1.26,3.5267,4.758,2.6361,.2921
1.265,3.5063,4.7443,2.6514,.2876
1.27,3.4849,4.7359,2.6147,.2723
1.275,3.4791,4.7252,2.5255,.2608
1.28,3.4606,4.7138,2.5742,.2547
1.285,3.4385,4.7054,2.6484,.2563
1.29,3.4158,4.7012,2.6854,.2482
1.295,3.3941,4.6814,2.6286,.2377
1.3,3.3763,4.6765,2.5667,.2388
1.305,3.3519,4.6636,2.6533,.2515
1.31,3.3367,4.6516,2.7989,.2757
1.315,3.3263,4.6412,2.9066,.2908
1.32,3.312,4.6302,2.8742,.2969
1.325,3.2893,4.6185,2.7354,.2876
1.33,3.2588,4.6065,2.5245,.2733
1.335,3.2254,4.5961,2.5492,.2791
1.34,3.1966,4.5831,2.6286,.2908
1.345,3.1648,4.5728,2.6831,.2846
1.35,3.1434,4.5611,2.6085,.2536
1.355,3.1392,4.552,2.5031,.2351
1.36,3.1191,4.5449,2.4597,.2209
1.365,3.1019,4.5345,2.5693,.2129
1.37,3.0918,4.5264,2.6157,.2081
1.375,3.072,4.5192,2.6744,.2024
1.38,3.0526,4.5108,2.6572,.1875
1.385,3.0409,4.5014,2.6517,.2001
1.39,3.0237,4.4943,2.7928,.2314
1.395,3.0114,4.4852,3.0097,.2518
1.4,2.9987,4.4755,2.9222,.2474
1.405,2.9861,4.4664,2.6552,.2314
1.41,2.9734,4.4576,2.555,.2196
1.415,2.9579,4.4469,2.5498,.2277
1.42,2.9394,4.4375,2.5787,.2401
1.425,2.9176,4.4287,2.69,.2375
1.43,2.8914,4.4203,2.6971,.2215
1.435,2.8625,4.4086,2.5696,.206
1.44,2.8385,4.4038,2.5109,.1805
1.445,2.8281,4.3957,2.5722,.1836
1.45,2.8138,4.3885,2.5933,.1846
1.455,2.8035,4.3824,2.6848,.1849
1.46,2.7924,4.3772,2.7399,.1945
1.465,2.7727,4.3661,2.7636,.203
1.47,2.7639,4.358,2.7645,.2034
1.475,2.7435,4.3493,2.7253,.2073
1.48,2.7243,4.3415,2.713,.2076
1.485,2.7156,4.3314,2.629,.1941
1.49,2.7016,4.324,2.6355,.1941
1.495,2.6968,4.3168,2.6575,.2001
1.5,2.6812,4.3078,2.7363,.2061
1.505,2.664,4.2993,2.6235,.1898
1.51,2.6559,4.2886,2.532,.1763
1.515,2.6494,4.2847,2.5203,.1621
1.52,2.6407,4.2776,2.6095,.1556
1.525,2.6248,4.277,2.6368,.1462
1.53,2.6053,4.2675,2.6228,.1331
1.535,2.5768,4.2701,2.6115,.1318
1.54,2.5738,4.2562,2.6462,.1257
1.545,2.5498,4.2504,2.6906,.1355
1.55,2.5323,4.2445,2.7869,.1556
1.555,2.5206,4.2367,2.8956,.1669
1.56,2.5177,4.2238,2.8466,.1631
1.565,2.5064,4.2241,2.689,.1595
1.57,2.4986,4.2189,2.6543,.1632
1.575,2.4976,4.2121,2.6452,.1702
1.58,2.4733,4.2053,2.6471,.1783
1.585,2.4639,4.191,2.5914,.1613
1.59,2.458,4.1923,2.5391,.1391
1.595,2.4418,4.1858,2.4613,.1197
1.6,2.4315,4.1826,2.4879,.1093
1.605,2.4298,4.1784,2.6092,.103
1.61,2.4227,4.1761,2.6429,.0939
1.615,2.4243,4.1699,2.6342,.085
1.62,2.4169,4.1644,2.6559,.0806
1.625,2.3987,4.1634,2.771,.1012
1.63,2.386,4.1566,2.8142,.1271
1.635,2.3685,4.154,2.9403,.1472
1.64,2.351,4.1475,2.9163,.1553
1.645,2.3348,4.1381,2.7337,.147
1.65,2.3316,4.1365,2.6319,.1368
1.655,2.3209,4.1326,2.5443,.141
1.66,2.315,4.1239,2.5858,.1558
1.665,2.3053,4.1177,2.616,.1499
1.67,2.2939,4.1112,2.5813,.1248
1.675,2.2894,4.108,2.4743,.0993
1.68,2.2819,4.1025,2.4859,.0868
1.685,2.2751,4.1012,2.5914,.0781
1.69,2.2735,4.0976,2.6416,.0645
1.695,2.2738,4.094,2.5784,.0479
1.7,2.2728,4.0924,2.5174,.0332
1.705,2.2696,4.0908,2.6504,.0567
1.71,2.2657,4.0898,2.8466,.093
1.715,2.2579,4.0862,3.0042,.1108
1.72,2.2547,4.0827,2.9209,.1038
1.725,2.242,4.0794,2.688,.0908
1.73,2.2216,4.0772,2.5933,.0819
1.735,2.2083,4.0716,2.5466,.0913
1.74,2.1983,4.0678,2.604,.1022
1.745,2.1918,4.0648,2.6312,.0993
1.75,2.1817,4.06,2.628,.0826
1.755,2.1775,4.0545,2.5703,.064
1.76,2.1827,4.0558,2.5408,.046
1.765,2.184,4.0545,2.5732,.0321
1.77,2.1811,4.0532,2.617,.0269
1.775,2.1859,4.0519,2.6458,.0248
1.78,2.1811,4.0496,2.6621,.0272
1.785,2.1788,4.0502,2.772,.0486
1.79,2.1785,4.0483,2.8074,.069
1.795,2.173,4.046,2.8599,.0764
1.8,2.173,4.0434,2.8349,.0781
1.805,2.1726,4.0418,2.676,.0627
1.81,2.171,4.0379,2.6436,.057
1.815,2.1619,4.0353,2.5388,.0572
1.82,2.161,4.0327,2.5469,.0649
1.825,2.1506,4.0295,2.6046,.0611
1.83,2.1331,4.0249,2.6342,.059
1.835,2.1256,4.0269,2.6397,.0441
1.84,2.123,4.0246,2.6257,.0293
1.845,2.1168,4.0236,2.6277,.018
1.85,2.1168,4.023,2.6316,.0109
1.855,2.1211,4.0172,2.6115,.0101
1.86,2.1211,4.0227,2.6397,.0112
1.865,2.1194,4.0207,2.6572,.0274
1.87,2.1227,4.0217,2.7688,.0399
1.875,2.1207,4.0207,2.7873,.0392
1.88,2.1149,4.036,2.7918,.03
1.885,2.1188,4.0178,2.6504,.0131
1.89,2.1217,4.0172,2.5871,.0049
1.895,2.1175,4.0172,2.5537,.0055
1.9,2.124,4.0152,2.5489,.0161
1.905,2.1224,4.0178,2.6692,.0274
1.91,2.1295,4.0152,2.7581,.0297
1.915,2.125,4.0149,2.7727,.0206
1.92,2.1327,4.0146,2.7068,.008
1.925,2.1149,4.0142,2.6666,-.0018
1.93,2.1065,4.0026,2.6348,-.0026
1.935,2.1029,4.0142,2.6053,.0029
1.94,2.1006,4.0142,2.6128,.0054
1.945,2.0864,4.0142,2.6851,.0162
1.95,2.0974,4.0152,2.6987,.0164
1.955,2.1,4.0207,2.6974,.0052
1.96,2.098,4.0133,2.7042,-.0009
1.965,2.1022,4.0142,2.7127,-.0053
1.97,2.1009,4.0133,2.7003,-.0045
1.975,2.1042,4.0113,2.6491,.0005
1.98,2.111,4.0136,2.5904,.0036
1.985,2.1084,4.0116,2.6611,.0089
1.99,2.1142,4.0133,2.6961,.0091
1.995,2.1237,4.0133,2.7311,.0029
2,2.1191,4.0116,2.7558,.0018
2.005,2.1535,4.0253,2.6916,.0026
2.01,2.1382,4.0262,2.6634,.0029
2.015,2.1246,4.0282,2.6721,.0031
2.02,2.1308,4.0253,2.6922,.0034
2.025,2.1421,4.0262,2.6922,.0026
2.03,2.1162,4.0256,2.6796,.0046
2.035,2.1386,4.0253,2.6718,.0033
2.04,2.1139,4.0253,2.6805,.0036
2.045,2.1211,4.0256,2.6877,.0041
2.05,2.1233,4.0266,2.6413,-.0006
2.055,2.1467,4.0249,2.6838,-.0039
2.06,2.1318,4.0214,2.6585,-.0047
2.065,2.149,4.0259,2.699,-.0063
2.07,2.1467,4.0269,2.6342,-.0116
2.075,2.1444,4.0327,2.6034,-.0179
2.08,2.1467,4.0279,2.6001,-.0215
2.085,2.1301,4.0259,2.5862,-.0301
2.09,2.137,4.0314,2.5502,-.0469
2.095,2.137,4.0343,2.5654,-.0581
2.1,2.1389,4.0399,2.5875,-.0785
2.105,2.147,4.0421,2.5631,-.096
2.11,2.1551,4.0574,2.5952,-.0966
2.115,2.1613,4.048,2.6286,-.0979
2.12,2.1966,4.0512,2.593,-.0885
2.125,2.207,4.0551,2.7104,-.0795
2.13,2.2038,4.0577,2.8246,-.0821
2.135,2.22,4.0616,2.7915,-.0804
2.14,2.232,4.0658,2.7146,-.0874
2.145,2.2323,4.0707,2.6244,-.0936
2.15,2.2378,4.0729,2.5356,-.0916
2.155,2.2381,4.0749,2.5907,-.0947
2.16,2.2339,4.0814,2.6575,-.1029
2.165,2.2349,4.0853,2.652,-.1081
2.17,2.2414,4.0895,2.6539,-.1224
2.175,2.2505,4.0973,2.5836,-.1356
2.18,2.2732,4.1015,2.5751,-.1454
2.185,2.2874,4.1073,2.5712,-.1504
2.19,2.2943,4.1135,2.5917,-.1538
2.195,2.3066,4.1213,2.629,-.1552
2.2,2.3221,4.1281,2.6329,-.1588
2.205,2.3361,4.1394,2.6938,-.1684
2.21,2.3526,4.1411,2.7402,-.1627
2.215,2.3666,4.1482,2.7438,-.159
2.22,2.3893,4.1544,2.7247,-.1478
2.225,2.3958,4.1599,2.7753,-.1282
2.23,2.4087,4.1712,2.7444,-.1235
2.235,2.4285,4.1706,2.6942,-.1248
2.24,2.4376,4.1767,2.6484,-.1423
2.245,2.4418,4.1858,2.5236,-.1684
2.25,2.4493,4.1907,2.4438,-.1849
2.255,2.4587,4.1942,2.4091,-.2069
2.26,2.4704,4.2072,2.4671,-.2234
2.265,2.4918,4.2176,2.5012,-.2417
2.27,2.5278,4.227,2.5547,-.2569
2.275,2.5271,4.238,2.5699,-.2723
2.28,2.5479,4.2393,2.5745,-.2723
2.285,2.5797,4.2601,2.6689,-.2708
2.29,2.5946,4.2708,2.8567,-.2537
2.295,2.6283,4.2815,2.8473,-.2402
2.3,2.6471,4.2903,2.7701,-.2216
2.305,2.6543,4.3,2.8593,-.1902
2.31,2.6669,4.3081,2.8275,-.1837
2.315,2.6805,4.3168,2.8181,-.1824
2.32,2.6971,4.3253,2.7782,-.1928
2.325,2.7143,4.3347,2.5949,-.2122
2.33,2.7292,4.3418,2.484,-.2113
2.335,2.7399,4.3506,2.5469,-.2082
2.34,2.762,4.3593,2.6903,-.2045
2.345,2.7762,4.3687,2.7217,-.2075
2.35,2.7898,4.3785,2.7,-.2211
2.355,2.8164,4.3876,2.689,-.2265
2.36,2.8505,4.3966,2.6527,-.2304
2.365,2.8638,4.406,2.5917,-.2312
2.37,2.8923,4.4151,2.6306,-.2258
2.375,2.9017,4.4239,2.7253,-.2156
2.38,2.9206,4.4326,2.711,-.2182
2.385,2.9436,4.4427,2.7097,-.2195
2.39,2.9595,4.4511,2.6698,-.225
2.395,2.9725,4.4609,2.6484,-.2376
2.4,2.9861,4.4677,2.6779,-.2362
2.405,3.011,4.4806,2.6394,-.2367
2.41,3.0179,4.4888,2.676,-.2336
2.415,3.0367,4.4982,2.7068,-.2249
2.42,3.05,4.5069,2.6595,-.2302
2.425,3.0548,4.515,2.6332,-.2359
2.43,3.0749,4.5264,2.653,-.2381
2.435,3.0983,4.5361,2.6906,-.2444
2.44,3.1197,4.5455,2.6445,-.2488
2.445,3.1385,4.5549,2.6591,-.2454
2.45,3.1726,4.5653,2.6546,-.2475
2.455,3.1946,4.5763,2.6419,-.2514
2.46,3.2206,4.5877,2.6059,-.2532
2.465,3.228,4.5961,2.6257,-.2629
2.47,3.255,4.6081,2.6325,-.2702
2.475,3.2767,4.6208,2.6085,-.2786
2.48,3.2987,4.6308,2.6319,-.2851
2.485,3.3247,4.6422,2.6468,-.287
2.49,3.3578,4.6548,2.6306,-.2893
2.495,3.3759,4.6671,2.6355,-.2849
2.5,3.3941,4.6801,2.6591,-.2852
2.505,3.4029,4.6911,2.6458,-.288
2.51,3.4155,4.7018,2.6647,-.2929
2.515,3.4408,4.7138,2.6698,-.2972
2.52,3.4658,4.7271,2.6789,-.3029
2.525,3.506,4.7375,2.6348,-.3099
2.53,3.5336,4.7531,2.6238,-.3102
2.535,3.5462,4.7661,2.6309,-.3121
2.54,3.5676,4.779,2.6238,-.3176
2.545,3.5962,4.793,2.6458,-.3233
2.55,3.6244,4.805,2.6381,-.3322
2.555,3.6675,4.8206,2.6669,-.3405
2.56,3.7022,4.8339,2.6569,-.3416
2.565,3.7269,4.8497,2.6585,-.345
2.57,3.7444,4.8643,2.6387,-.3417
2.575,3.7732,4.8802,2.6092,-.3479
2.58,3.7985,4.8916,2.6394,-.3566
2.585,3.8501,4.9049,2.6267,-.3503
2.59,3.8835,4.9182,2.6261,-.3589
2.595,3.8851,4.9338,2.6241,-.3659
2.6,3.9014,4.9448,2.641,-.3683
2.605,3.9299,4.9662,2.6173,-.3864
2.61,3.9779,4.9824,2.5923,-.3918
2.615,4.0068,4.996,2.6244,-.3995
2.62,4.0382,5.0155,2.6468,-.4117
2.625,4.0509,5.0317,2.6199,-.4156
2.63,4.083,5.0479,2.5836,-.4261
2.635,4.119,5.0625,2.6011,-.4321
2.64,4.1813,5.0826,2.6322,-.4374
2.645,4.1988,5.0995,2.628,-.4446
2.65,4.2335,5.1164,2.6663,-.446
2.655,4.2799,5.1368,2.6283,-.4515
2.66,4.3347,5.155,2.5917,-.4607
2.665,4.3791,5.1725,2.5732,-.4671
2.67,4.3986,5.1913,2.6335,-.4565
2.675,4.4385,5.2023,2.6737,-.459
2.68,4.4771,5.2305,2.6403,-.4711
2.685,4.5179,5.2513,2.6306,-.4782
2.69,4.5436,5.2711,2.5936,-.4866
2.695,4.5747,5.2938,2.6166,-.4956
2.7,4.6136,5.3113,2.6345,-.497
2.705,4.6594,5.3346,2.6394,-.5106
2.71,4.686,5.3548,2.5943,-.5206
2.715,4.7181,5.3762,2.6763,-.5164
2.72,4.7625,5.3966,2.6238,-.527
2.725,4.8131,5.4199,2.5862,-.5213
2.73,4.8527,5.442,2.6183,-.5208
2.735,4.9016,5.4657,2.5823,-.5423
2.74,4.9555,5.4864,2.6001,-.5553
2.745,4.9957,5.5095,2.6137,-.5695
2.75,5.0521,5.5325,2.5868,-.5848
2.755,5.0943,5.5558,2.5644,-.5941
2.76,5.1404,5.5808,2.5842,-.5946
2.765,5.1997,5.6058,2.5745,-.6029
2.77,5.248,5.6324,2.6111,-.6111
2.775,5.2928,5.6554,2.5599,-.6217
2.78,5.3428,5.6807,2.5583,-.6337
2.785,5.3888,5.707,2.6105,-.6306
2.79,5.4404,5.7326,2.5618,-.6405
2.795,5.4932,5.7569,2.5245,-.6578
2.8,5.5387,5.7861,2.6011,-.6623
2.805,5.5876,5.8134,2.6329,-.6788
2.81,5.6441,5.8419,2.593,-.6945
2.815,5.6969,5.8705,2.6141,-.7123
2.82,5.7469,5.9006,2.6222,-.7167
2.825,5.8072,5.9311,2.5982,-.7151
2.83,5.8672,5.9603,2.5871,-.7157
2.835,5.9233,5.9892,2.6037,-.7263
2.84,5.9963,6.018,2.6244,-.7538
2.845,6.0453,6.0502,2.6264,-.7674
2.85,6.1153,6.0784,2.6021,-.7764
2.855,6.187,6.1115,2.6098,-.7771
2.86,6.2392,6.1439,2.6021,-.7832
2.865,6.3197,6.1741,2.5566,-.7871
2.87,6.3726,6.2088,2.5725,-.7734
2.875,6.4335,6.2389,2.568,-.7891
2.88,6.511,6.2723,2.6108,-.8028
2.885,6.5659,6.3054,2.5592,-.8226
2.89,6.6375,6.3385,2.5573,-.8326
2.895,6.6865,6.368,2.5797,-.8482
2.9,6.7572,6.405,2.6478,-.864
2.905,6.8364,6.4407,2.6131,-.8576
2.91,6.8944,6.4737,2.5502,-.8681
2.915,7.0131,6.5081,2.7655,-.8524
2.92,7.0063,6.5402,3.0574,-.808
2.925,7.0774,6.5724,3.4077,-.7327
2.93,7.1452,6.6012,3.5173,-.6683
2.935,7.1863,6.6262,3.4048,-.598
2.94,7.2321,6.6479,3.3678,-.5252
2.945,7.2882,6.6658,3.4067,-.4515
2.95,7.3278,6.6826,3.3315,-.3673
2.955,7.3634,6.6966,3.3273,-.3173
2.96,7.3745,6.7086,3.2614,-.2752
2.965,7.3887,6.7183,2.9919,-.2436
2.97,7.4114,6.7245,2.867,-.2024
2.975,7.4277,6.7355,3.0558,-.1965
2.98,7.4637,6.7462,2.8054,-.244
2.985,7.4857,6.7572,2.2268,-.2993
2.99,7.5,6.7696,2.3705,-.2658
2.995,7.5045,6.7799,2.7876,-.23
3,7.523,6.79,2.7714,-.2576
3.005,7.5392,6.8,2.6436,-.2614
3.01,7.5493,6.8111,2.8252,-.2438
3.015,7.5752,6.8227,2.833,-.2375
3.02,7.6031,6.8296,2.8291,-.226
3.025,7.6498,6.8386,2.9689,-.1858
3.03,7.6434,6.8497,3.0506,-.1539
3.035,7.6563,6.8516,2.9238,-.1298
3.04,7.6709,6.8552,2.9517,-.0863
3.045,7.6878,6.8591,3.0097,-.0523
3.05,7.6803,6.861,2.7996,-.0447
3.055,7.6907,6.863,2.687,-.0639
3.06,7.6891,6.8678,2.6423,-.0877
3.065,7.7024,6.8737,2.3815,-.1251
3.07,7.7128,6.8756,2.353,-.1193
3.075,7.7193,6.8805,2.6676,-.0885
