Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
17.53,2.0854,4.0077,2.6994,-.004
17.535,2.0841,4.0065,2.6669,.0041
17.54,2.0886,4.009,2.6663,.001
17.545,2.098,4.0081,2.6981,-.0024
17.55,2.0915,4.0081,2.677,-.0142
17.555,2.1016,4.0081,2.6857,-.0207
17.56,2.1052,4.0097,2.7279,-.022
17.565,2.1052,4.0116,2.7,-.0199
17.57,2.1016,4.0123,2.6734,-.0179
17.575,2.0912,4.0074,2.665,-.0103
17.58,2.1162,4.0133,2.688,-.0133
17.585,2.1039,4.0149,2.7143,-.0123
17.59,2.1395,4.0149,2.7285,-.0145
17.595,2.1172,4.0159,2.7448,-.0121
17.6,2.125,4.0191,2.7435,-.0047
17.605,2.1009,4.0214,2.6828,-.0024
17.61,2.1104,4.0155,2.6144,.002
17.615,2.0987,4.0159,2.6111,.0034
17.62,2.1279,4.0165,2.6491,.0012
17.625,2.1262,4.0142,2.6666,-.0061
17.63,2.1301,4.0165,2.6533,-.0131
17.635,2.1194,4.0178,2.6763,-.0204
17.64,2.1181,4.0185,2.7062,-.0152
17.645,2.1292,4.0207,2.6647,-.0089
17.65,2.1149,4.0198,2.6676,-.0011
17.655,2.1155,4.0198,2.6763,.0015
17.66,2.147,4.0142,2.6536,.001
17.665,2.1321,4.0181,2.6857,-.01
17.67,2.1344,4.0139,2.7088,-.0039
17.675,2.1382,4.0198,2.736,-.0022
17.68,2.1386,4.0214,2.7545,-.0009
17.685,2.1301,4.021,2.6968,.0028
17.69,2.1152,4.0269,2.616,-.0001
17.695,2.1201,4.0204,2.6436,-.0027
17.7,2.1149,4.021,2.665,-.0074
17.705,2.1376,4.0214,2.6822,-.0142
17.71,2.1415,4.022,2.713,-.017
17.715,2.1418,4.0236,2.712,-.0168
17.72,2.122,4.0249,2.7036,-.0107
17.725,2.1142,4.0249,2.7062,-.0027
17.73,2.1165,4.0253,2.6695,.0002
17.735,2.123,4.0246,2.6896,-.0003
17.74,2.1506,4.0253,2.7334,-.0021
17.745,2.1415,4.0262,2.6925,-.005
17.75,2.1292,4.0249,2.7026,-.0021
17.755,2.1292,4.0243,2.6776,-.0009
17.76,2.124,4.0259,2.639,.0023
17.765,2.1152,4.0266,2.6598,.0016
17.77,2.1305,4.0269,2.6562,.0049
17.775,2.1434,4.0324,2.6705,-.0005
17.78,2.1515,4.0266,2.7101,-.0022
17.785,2.123,4.0269,2.6647,-.0068
17.79,2.1243,4.0269,2.628,-.0116
17.795,2.1194,4.0246,2.6332,-.0092
17.8,2.1246,4.0285,2.6812,-.0073
17.805,2.1314,4.0288,2.6578,-.0061
17.81,2.1464,4.0295,2.7078,-.0032
17.815,2.1447,4.0305,2.7071,-.0027
17.82,2.1674,4.0288,2.6828,-.0022
17.825,2.1353,4.0295,2.6945,-.0011
17.83,2.1227,4.0272,2.6608,-.0045
17.835,2.1431,4.0288,2.6822,-.0094
17.84,2.1438,4.0327,2.7169,-.0034
17.845,2.1279,4.0301,2.6987,-.0045
17.85,2.1467,4.0288,2.7214,-.0027
17.855,2.1522,4.0305,2.6922,-.0042
17.86,2.1321,4.0262,2.6663,-.0013
17.865,2.1616,4.0311,2.6799,.0003
17.87,2.1347,4.0324,2.6841,.0008
17.875,2.1321,4.0321,2.7234,-.0016
17.88,2.1272,4.034,2.7146,-.0018
17.885,2.1616,4.0318,2.6848,-.0026
17.89,2.1587,4.0327,2.676,.0015
17.895,2.1376,4.0327,2.6452,.0029
17.9,2.1493,4.033,2.651,.0016
17.905,2.1587,4.0324,2.6844,.0025
17.91,2.1613,4.0327,2.6964,.0026
17.915,2.1379,4.0321,2.6974,.0025
17.92,2.1869,4.0321,2.7114,.0039
17.925,2.146,4.0324,2.675,.0031
17.93,2.1642,4.0318,2.6429,.0025
17.935,2.1425,4.0305,2.6507,.0016
17.94,2.1496,4.0318,2.6543,-.0035
17.945,2.1425,4.0272,2.6754,-.0006
17.95,2.1379,4.0327,2.6676,-.0008
17.955,2.1658,4.034,2.6825,-.0003
17.96,2.1389,4.0334,2.6767,.0036
17.965,2.147,4.0376,2.6718,.0025
17.97,2.1357,4.033,2.6689,.0026
17.975,2.1486,4.0343,2.6676,.0018
17.98,2.1538,4.0337,2.6948,-.0001
17.985,2.1457,4.0334,2.699,-.0024
17.99,2.158,4.034,2.6932,-.0039
17.995,2.1389,4.0337,2.689,-.0031
18,2.1648,4.0366,2.6841,-.004
18.005,2.1746,4.0376,2.6546,.0028
18.01,2.1768,4.0379,2.6822,.0028
18.015,2.1668,4.0379,2.677,.0021
18.02,2.1642,4.0376,2.6796,.0026
18.025,2.1558,4.0379,2.7,.0026
18.03,2.1509,4.0382,2.6838,.0033
18.035,2.1541,4.0434,2.6789,.0003
18.04,2.1655,4.0382,2.6497,-.0035
18.045,2.1532,4.0279,2.6397,-.0039
18.05,2.1434,4.0382,2.6449,-.0079
18.055,2.1506,4.0415,2.4191,-.0477
18.06,2.1509,4.0428,2.2836,-.0785
18.065,2.1616,4.0428,2.2819,-.1054
18.07,2.1723,4.0493,2.425,-.1133
18.075,2.1901,4.0545,2.5794,-.1254
18.08,2.1924,4.0606,2.5453,-.1538
18.085,2.2083,4.0661,2.5288,-.176
18.09,2.2304,4.0739,2.5456,-.1904
18.095,2.2472,4.0827,2.5148,-.2088
18.1,2.2634,4.0901,2.5184,-.2252
18.105,2.2839,4.0989,2.5375,-.2367
18.11,2.3069,4.1171,2.6591,-.2289
18.115,2.3303,4.1196,2.6186,-.2373
18.12,2.3432,4.1304,2.5985,-.2448
18.125,2.3617,4.1398,2.6501,-.2462
18.13,2.3705,4.1508,2.6527,-.2522
18.135,2.3834,4.1608,2.6098,-.2592
18.14,2.4065,4.1719,2.6536,-.2535
18.145,2.4104,4.1784,2.629,-.2653
18.15,2.4428,4.1955,2.6238,-.2652
18.155,2.4694,4.2053,2.5969,-.2699
18.16,2.4908,4.216,2.6196,-.2793
18.165,2.5174,4.2273,2.6384,-.2802
18.17,2.5472,4.2397,2.6465,-.2912
18.175,2.5635,4.2474,2.6465,-.2992
18.18,2.5959,4.264,2.6436,-.3027
18.185,2.6218,4.2776,2.6698,-.3116
18.19,2.6465,4.2906,2.6157,-.3162
18.195,2.6711,4.2997,2.6277,-.3181
18.2,2.714,4.3175,2.6468,-.3264
18.205,2.7324,4.3308,2.6251,-.3311
18.21,2.7561,4.3467,2.6611,-.3319
18.215,2.7665,4.359,2.7007,-.3358
18.22,2.796,4.382,2.6355,-.34
18.225,2.8061,4.3879,2.6692,-.3413
18.23,2.8469,4.4025,2.6488,-.339
18.235,2.8654,4.4158,2.6416,-.3408
18.24,2.8907,4.4352,2.6348,-.3398
18.245,2.9193,4.4437,2.6792,-.3481
18.25,2.9543,4.4586,2.6779,-.3562
18.255,2.9725,4.4729,2.653,-.3644
18.26,3.0205,4.4878,2.6264,-.3707
18.265,3.048,4.5014,2.6306,-.3683
18.27,3.0723,4.5176,2.6527,-.3706
18.275,3.0996,4.5306,2.6565,-.3743
18.28,3.1375,4.5475,2.6601,-.374
18.285,3.1771,4.5501,2.6844,-.3767
18.29,3.2105,4.5766,2.6637,-.3882
18.295,3.2378,4.5922,2.6497,-.3871
18.3,3.2566,4.6094,2.6163,-.39
18.305,3.2819,4.6237,2.581,-.4005
18.31,3.3062,4.6409,2.6335,-.3968
18.315,3.3448,4.6574,2.6432,-.3982
18.32,3.3704,4.6752,2.6916,-.394
18.325,3.3957,4.6876,2.6601,-.395
18.33,3.4294,4.7067,2.6692,-.3978
18.335,3.4671,4.7239,2.6825,-.4036
18.34,3.5109,4.7414,2.6647,-.4013
18.345,3.5446,4.757,2.64,-.419
18.35,3.5628,4.7729,2.6098,-.4204
18.355,3.5975,4.793,2.6209,-.4199
18.36,3.6403,4.8105,2.6565,-.4306
18.365,3.6951,4.8274,2.6543,-.4308
18.37,3.734,4.8442,2.6562,-.4287
18.375,3.7502,4.8627,2.6763,-.4378
18.38,3.7849,4.8799,2.665,-.435
18.385,3.8245,4.8961,2.6669,-.4334
18.39,3.8602,4.9143,2.6569,-.4369
18.395,3.8696,4.9334,2.6721,-.424
18.4,3.901,4.9522,2.6779,-.4339
18.405,3.9361,4.9704,2.6436,-.4539
18.41,3.9883,4.9892,2.6141,-.4507
18.415,4.0308,5.0074,2.6218,-.4616
18.42,4.046,5.0259,2.6092,-.4711
18.425,4.0827,5.0437,2.6559,-.4692
18.43,4.1261,5.0641,2.6578,-.4735
18.435,4.1855,5.0852,2.6124,-.4883
18.44,4.2166,5.1034,2.6137,-.4866
18.445,4.2523,5.1232,2.6484,-.4886
18.45,4.2906,5.1446,2.6351,-.492
18.455,4.3454,5.1683,2.6306,-.4986
18.46,4.3863,5.1825,2.6043,-.5035
18.465,4.4245,5.2023,2.6092,-.4994
18.47,4.4579,5.2237,2.6147,-.5082
18.475,4.5046,5.2461,2.6403,-.5127
18.48,4.5257,5.2639,2.6394,-.5166
18.485,4.5608,5.2909,2.6066,-.5296
18.49,4.6003,5.3126,2.5777,-.5464
18.495,4.6571,5.3363,2.5949,-.5512
18.5,4.6941,5.359,2.6141,-.565
18.505,4.7362,5.3817,2.6358,-.5676
18.51,4.7878,5.405,2.6364,-.5723
18.515,4.8348,5.4297,2.6024,-.5692
18.52,4.8841,5.4595,2.5764,-.5752
18.525,4.9422,5.4774,2.581,-.5875
18.53,4.9902,5.502,2.6445,-.606
18.535,5.0411,5.5263,2.6705,-.6231
18.54,5.0985,5.5523,2.6196,-.6317
18.545,5.1501,5.5717,2.556,-.64
18.55,5.1906,5.6029,2.5583,-.6356
18.555,5.2438,5.6291,2.6056,-.6471
18.56,5.2883,5.6567,2.6546,-.6507
18.565,5.3269,5.6823,2.5888,-.6628
18.57,5.381,5.7099,2.5579,-.6662
18.575,5.4414,5.7378,2.5832,-.6733
18.58,5.4851,5.766,2.5787,-.6889
18.585,5.5406,5.7955,2.555,-.7016
18.59,5.599,5.8202,2.5888,-.7117
18.595,5.6635,5.8513,2.5933,-.7345
18.6,5.7125,5.8838,2.5904,-.746
18.605,5.7832,5.9146,2.5845,-.7551
18.61,5.8461,5.9434,2.5959,-.747
18.615,5.9117,5.9762,2.616,-.757
18.62,5.9859,6.006,2.5696,-.7847
18.625,6.0437,6.0362,2.5635,-.8038
18.63,6.1085,6.0664,2.5427,-.809
18.635,6.176,6.1024,2.5852,-.8185
18.64,6.2373,6.1368,2.6063,-.8221
18.645,6.3064,6.1698,2.6056,-.821
18.65,6.3541,6.2062,2.5677,-.8109
18.655,6.4167,6.2444,2.5339,-.8373
18.66,6.502,6.272,2.5459,-.8342
18.665,6.5406,6.307,2.6192,-.8493
18.67,6.633,6.3408,2.5709,-.8744
18.675,6.6843,6.38,2.5748,-.878
18.68,6.7481,6.4108,2.6235,-.8977
18.685,6.837,6.4468,2.5712,-.8843
18.69,6.8951,6.4815,2.5356,-.9079
18.695,6.9921,6.5201,2.5644,-.9349
18.7,7.0595,6.5552,2.5693,-.9453
18.705,7.1552,6.5947,2.5696,-.9583
18.71,7.2152,6.6333,2.5852,-.9617
18.715,7.3021,6.6693,2.6377,-.9516
18.72,7.3673,6.7005,2.5748,-.9346
18.725,7.438,6.7439,2.5563,-.9626
18.73,7.5217,6.7851,2.6543,-.9707
18.735,7.5908,6.8234,2.6218,-.9767
18.74,7.6781,6.8688,2.5806,-.9889
18.745,7.7433,6.9038,2.6426,-.9966
18.75,7.8295,6.9447,2.6501,-.9859
18.755,7.8925,6.9846,2.6179,-1.0097
18.76,7.9804,7.0268,2.6209,-1.024
18.765,8.0507,7.0634,2.6549,-1.0353
18.77,8.1364,7.1056,2.5907,-1.0434
18.775,8.2223,7.1468,2.6345,-1.035
18.78,8.306,7.1893,2.6484,-1.005
18.785,8.3942,7.2269,2.6971,-.9968
18.79,8.4896,7.2707,2.6439,-1.0203
18.795,8.5723,7.3112,2.7065,-1.0326
18.8,8.6521,7.3518,2.7302,-1.0264
18.805,8.7225,7.3975,2.6867,-1.0318
18.81,8.7945,7.4342,2.6964,-1.0044
18.815,8.8824,7.4773,2.7367,-1.0266
18.82,8.9525,7.5178,2.7058,-1.0382
18.825,9.0232,7.5616,2.7042,-1.0373
18.83,9.1185,7.6002,2.747,-1.024
18.835,9.1925,7.6398,3.0065,-.9785
18.84,9.2577,7.6784,3.3435,-.887
18.845,9.3144,7.7082,3.5047,-.7802
18.85,9.3757,7.742,3.5517,-.6976
18.855,9.4289,7.7702,3.6309,-.6189
18.86,9.462,7.7955,3.6156,-.5367
18.865,9.5136,7.8153,3.5689,-.4577
18.87,9.558,7.8286,3.5242,-.3672
18.875,9.5804,7.8454,3.5018,-.2645
18.88,9.606,7.8542,3.5044,-.1769
18.885,9.6226,7.861,3.5144,-.0982
18.89,9.6203,7.8629,3.4856,-.0239
18.895,9.6261,7.8636,3.3717,.0284
18.9,9.618,7.8613,3.2916,.0781
18.905,9.6047,7.8574,3.2001,.1258
18.91,9.5895,7.8522,3.0886,.1681
18.915,9.584,7.8445,2.5962,.1584
18.92,9.5678,7.8373,2.5693,.1605
18.925,9.547,7.8292,2.7707,.2026
18.93,9.5337,7.8214,2.9637,.2327
18.935,9.6216,7.8078,2.7133,.2056
18.94,9.5016,7.8039,2.603,.1878
18.945,9.485,7.7961,2.7149,.2094
18.95,9.4698,7.7861,2.8421,.2247
18.955,9.4377,7.7796,2.7227,.2231
18.96,9.4166,7.7673,2.6063,.2268
18.965,9.403,7.7579,2.7328,.2492
18.97,9.3809,7.7468,2.8233,.2638
18.975,9.367,7.7377,2.7081,.2578
18.98,9.3598,7.7261,2.6209,.2545
18.985,9.3456,7.7134,2.7023,.2778
18.99,9.3225,7.7037,2.833,.2968
18.995,9.3128,7.6901,2.6708,.2931
19,9.2804,7.6881,2.5755,.2966
19.005,9.2463,7.6664,2.6131,.3026
19.01,9.2239,7.6554,2.7172,.3016
19.015,9.2071,7.6434,2.5849,.2799
19.02,9.1876,7.6301,2.5219,.262
19.025,9.1604,7.622,2.5686,.2667
19.03,9.1484,7.6129,2.6102,.2498
19.035,9.1052,7.6018,2.7626,.2508
19.04,9.0871,7.5944,2.7694,.2681
19.045,9.0666,7.5824,2.7973,.2686
19.05,9.0468,7.5717,2.7853,.2634
19.055,9.0248,7.5616,2.75,.2612
19.06,9.0151,7.5503,2.796,.273
19.065,9.0053,7.5483,2.7944,.2772
19.07,8.9758,7.5302,2.7302,.274
19.075,8.9748,7.5185,2.701,.2863
19.08,8.9505,7.5062,2.7315,.3013
19.085,8.9259,7.4948,2.76,.301
19.09,8.8999,7.4831,2.7159,.2947
19.095,8.8775,7.4711,2.545,.2694
19.1,8.8548,7.4607,2.4992,.2581
19.105,8.8162,7.45,2.4986,.2529
19.11,8.8036,7.4406,2.5433,.2426
19.115,8.7893,7.4293,2.6984,.2468
19.12,8.7705,7.4205,2.6536,.2472
19.125,8.7397,7.4114,2.6397,.237
19.13,8.7228,7.4027,2.6121,.2275
19.135,8.6978,7.3923,2.7211,.2372
19.14,8.68,7.3839,2.7548,.2426
19.145,8.6719,7.3735,2.7217,.2434
19.15,8.6673,7.3777,2.6802,.25
19.155,8.6466,7.3544,2.5881,.2497
19.16,8.7179,7.344,2.58,.2461
19.165,8.7209,7.3346,2.6037,.2349
19.17,8.6252,7.3271,2.6121,.2233
19.175,8.5895,7.3177,2.5985,.2037
19.18,8.583,7.3119,2.5742,.1904
19.185,8.5525,7.3028,2.5485,.1815
19.19,8.6602,7.295,2.5518,.1703
19.195,8.5259,7.2895,2.7331,.1801
19.2,8.512,7.2814,2.7704,.1872
19.205,8.4889,7.2746,2.7415,.1752
19.21,8.4808,7.2691,2.7117,.1622
19.215,8.4624,7.2548,2.843,.1805
19.22,8.4409,7.2538,2.8742,.1979
19.225,8.4221,7.2464,2.7263,.1987
19.23,8.4001,7.2369,2.6981,.212
19.235,8.3715,7.234,2.6552,.216
19.24,8.3589,7.2201,2.6218,.2063
19.245,8.3469,7.2146,2.6115,.194
19.25,8.3203,7.2045,2.6432,.1932
19.255,8.3329,7.1993,2.5758,.1754
19.26,8.3264,7.1912,2.4519,.1522
19.265,8.319,7.1854,2.4454,.1431
19.27,8.3164,7.1792,2.5427,.1365
19.275,8.296,7.1721,2.7535,.1393
19.28,8.2866,7.1659,2.7642,.1467
19.285,8.2694,7.1617,2.7211,.1495
19.29,8.2661,7.1565,2.6309,.1381
19.295,8.2535,7.1494,2.7013,.1553
19.3,8.2308,7.1422,2.8907,.1851
19.305,8.223,7.137,2.8151,.1817
19.31,8.2009,7.1289,2.6575,.1746
19.315,8.1854,7.1234,2.4944,.1708
19.32,8.1549,7.114,2.5489,.1684
19.325,8.1925,7.1104,2.5673,.1551
19.33,8.1665,7.1046,2.5878,.143
19.335,8.2337,7.0994,2.5806,.1263
19.34,8.1484,7.0939,2.5894,.1072
19.345,8.1623,7.09,2.5336,.0967
19.35,8.1954,7.0881,2.5492,.0803
19.355,8.1036,7.0845,2.8041,.0946
19.36,8.0997,7.0813,2.8703,.1114
19.365,8.0832,7.0731,2.7827,.1087
19.37,8.0825,7.0719,2.7156,.113
19.375,8.0725,7.0657,2.8644,.1368
19.38,8.0676,7.0624,2.9296,.1576
19.385,8.0553,7.0582,2.8401,.1606
19.39,8.0546,7.0498,2.7042,.1665
19.395,8.0439,7.0446,2.4889,.1551
19.4,8.006,7.0384,2.4548,.1376
19.405,8.0835,7.0342,2.5891,.1326
19.41,8.0342,7.0284,2.6883,.1313
19.415,7.992,7.0248,2.6215,.1069
19.42,7.9914,7.02,2.5265,.0892
19.425,7.9817,7.0174,2.5589,.0946
19.43,7.9654,7.0242,2.6001,.0802
19.435,7.9599,7.0105,2.736,.0879
19.44,7.9525,7.0086,2.7775,.1004
19.445,7.944,7.0028,2.699,.0949
19.45,7.9272,7.0028,2.6105,.0936
19.455,7.921,6.9956,2.6961,.11
19.46,7.9158,6.9911,2.8223,.1219
19.465,7.9165,6.9865,2.7295,.1137
19.47,7.9077,6.981,2.6299,.1085
19.475,7.9048,6.9784,2.5592,.1074
19.48,7.8964,6.9745,2.64,.1038
19.485,7.8983,6.971,2.6257,.0968
19.49,7.8964,6.9658,2.5917,.0828
19.495,7.8882,6.9564,2.5774,.0743
19.5,7.8821,6.9612,2.5492,.063
19.505,7.8629,6.9587,2.6027,.0551
19.51,7.8542,6.9577,2.6514,.0518
19.515,7.8428,6.9512,2.8346,.0624
19.52,7.8396,6.9525,2.8132,.0683
19.525,7.8344,6.9502,2.711,.068
19.53,7.8208,6.9479,2.6822,.0693
19.535,7.8166,6.9454,2.7285,.0787
19.54,7.8195,6.9415,2.7483,.0837
19.545,7.8123,6.9385,2.7324,.091
19.55,7.7971,6.934,2.7574,.1103
19.555,7.7799,6.9317,2.7545,.1117
19.56,7.7728,6.9132,2.6942,.109
19.565,7.7617,6.9217,2.5881,.0994
19.57,7.7617,6.9194,2.5978,.096
19.575,7.8532,6.9149,2.5216,.0815
19.58,7.836,6.9129,2.5232,.0632
19.585,7.7562,6.9097,2.5206,.0509
19.59,7.752,6.9084,2.5378,.0428
19.595,7.7533,6.9064,2.7629,.0507
19.6,7.7462,6.9035,2.7684,.0507
19.605,7.7416,6.9025,2.6264,.0436
19.61,7.7345,6.9012,2.5914,.0379
19.615,7.7368,6.8993,2.7963,.0538
19.62,7.7377,6.8964,2.8447,.0638
19.625,7.742,6.8941,2.7308,.0604
19.63,7.7355,6.8918,2.6705,.0693
19.635,7.7413,6.8912,2.6442,.0742
19.64,7.7332,6.8866,2.6812,.0696
19.645,7.7248,6.8844,2.6786,.0638
19.65,7.7287,6.8815,2.7123,.0619
19.655,7.7202,6.8789,2.6903,.0541
19.66,7.6995,6.8782,2.6507,.0481
19.665,7.6985,6.8763,2.5816,.0439
19.67,7.6878,6.8746,2.6484,.047
19.675,7.6816,6.8727,2.7454,.0528
19.68,7.6654,6.8708,2.7467,.0489
19.685,7.6677,6.8704,2.6601,.0424
19.69,7.6573,6.8675,2.6634,.0441
19.695,7.6563,6.8659,2.712,.0513
19.7,7.6518,6.8639,2.7013,.0536
19.705,7.6528,6.861,2.6728,.0573
19.71,7.6408,6.8769,2.7525,.07
19.715,7.6511,6.8571,2.7117,.0709
19.72,7.6242,6.8532,2.6261,.0624
19.725,7.6495,6.851,2.6692,.062
19.73,7.6498,6.8503,2.6702,.0658
19.735,7.6447,6.8464,2.6004,.0556
19.74,7.6349,6.8442,2.6345,.0539
19.745,7.6466,6.8429,2.6423,.0484
19.75,7.6333,6.8399,2.6403,.0397
19.755,7.6333,6.8399,2.5573,.0267
19.76,7.6275,6.839,2.5197,.0164
19.765,7.6268,6.839,2.5998,.0133
19.77,7.6229,6.8373,2.6264,-.0006
19.775,7.6249,6.8412,2.8291,.0167
19.78,7.6268,6.837,2.846,.0277
19.785,7.6207,6.8318,2.7412,.0321
19.79,7.6135,6.8344,2.676,.0348
19.795,7.6125,6.8296,2.7642,.0546
19.8,7.6054,6.8309,2.8897,.0708
19.805,7.5999,6.8279,2.8155,.0703
19.81,7.5843,6.8253,2.7039,.0721
19.815,7.5817,6.8218,2.5343,.0667
19.82,7.571,6.8202,2.5907,.0611
19.825,7.5694,6.8172,2.6449,.0547
19.83,7.6307,6.8153,2.7023,.0505
19.835,7.6472,6.8153,2.6141,.0282
19.84,7.5681,6.8127,2.5012,.0102
19.845,7.5756,6.8143,2.5609,.0065
19.85,7.5717,6.8137,2.6491,.0029
19.855,7.5655,6.8133,2.8223,.0185
19.86,7.5639,6.8146,2.7898,.0238
19.865,7.5671,6.812,2.7363,.024
19.87,7.5577,6.8091,2.6679,.03
19.875,7.5405,6.8095,2.7211,.0411
19.88,7.5587,6.8091,2.7911,.0507
19.885,7.5626,6.8059,2.7525,.0559
19.89,7.5584,6.8043,2.7221,.0599
19.895,7.572,6.8007,2.6085,.0491
19.9,7.5639,6.7987,2.5534,.0426
19.905,7.5496,6.8013,2.5667,.0322
19.91,7.5509,6.7968,2.6368,.0285
19.915,7.5461,6.7923,2.6319,.0185
19.92,7.5477,6.7958,2.5936,.0028
19.925,7.5418,6.7919,2.6205,.002
19.93,7.5389,6.7958,2.6984,.0029
19.935,7.536,6.7942,2.8628,.017
19.94,7.5243,6.7958,2.8051,.0232
19.945,7.5269,6.7939,2.7308,.0253
19.95,7.5227,6.7932,2.687,.0287
19.955,7.5152,6.7913,2.7052,.0321
19.96,7.5062,6.791,2.7217,.0377
19.965,7.5152,6.791,2.689,.0376
19.97,7.5146,6.7884,2.6867,.0361
19.975,7.525,6.7871,2.5787,.0272
19.98,7.5253,6.7887,2.5417,.0136
19.985,7.5204,6.7864,2.6244,.0127
19.99,7.5204,6.7832,2.6559,.0067
19.995,7.5201,6.7851,2.7136,.005
20,7.5201,6.7838,2.6958,.0046
