Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
6.237,50,-.9968,-1.2433
6.27,50,-.9705,-1.1972
6.303,50,-.9721,-1.1891
6.336,50,-.9692,-1.2319
6.369,50,-.9757,-1.2319
6.402,50,-.954,-1.1904
6.435,50,-.9897,-1.1687
6.468,50,-.9757,-1.2618
6.501,50,-.9984,-1.1625
6.534,50,-.9378,-1.2206
6.567,50,-.9942,-1.1499
6.6,50,-1.0026,-1.2358
6.633,50,-.9708,-1.2018
6.666,50,-.9572,-1.2135
6.699,50,-1.0104,-1.2076
6.732,50,-.9741,-1.2371
6.765,50,-.9715,-1.2096
6.798,50,-.9423,-1.2219
6.831,50,-.9984,-1.2524
6.864,50,-1.0036,-1.1826
6.897,50,-.9533,-1.1959
6.93,50,-.9838,-1.2047
6.963,50,-.9887,-1.2452
6.996,50,-.9666,-1.194
7.029,50,-.9212,-1.2164
7.062,50,-1.0023,-1.2005
7.095,50,-.9335,-1.1758
7.128,50,-.9624,-1.2115
7.161,50,-.9481,-1.193
7.194,50,-1.0163,-1.2203
7.227,50,-.9663,-1.1872
7.26,50,-.9631,-1.206
7.293,50,-.9812,-1.1969
7.326,50,-.977,-1.2546
7.359,50,-.9984,-1.1512
7.392,50,-.9342,-1.1852
7.425,50,-1.002,-1.2057
7.458,50,-.9725,-1.2047
7.491,50,-.9673,-1.1898
7.524,50,-.9981,-1.1528
7.557,50,-.9906,-1.2501
7.59,50,-.9588,-1.2235
7.623,50,-.9974,-1.1619
7.656,50,-.9631,-1.2232
7.689,50,-.9816,-1.2255
7.722,50,-.9994,-1.1826
7.755,50,-.9601,-1.195
7.788,50,-1.0004,-1.2271
7.821,50,-.942,-1.2368
7.854,50,-1.0043,-1.1622
7.887,50,-.9699,-1.1804
7.92,50,-.9961,-1.252
7.953,50,-.9712,-1.1966
7.986,50,-.9504,-1.193
8.019,50,-.9683,-1.2287
8.052,50,-.9955,-1.2057
8.085,50,-.9332,-1.2144
8.118,50,-.9588,-1.1826
8.151,50,-1.0205,-1.2118
8.184,50,-.9621,-1.219
8.217,50,-.9838,-1.1872
8.25,50,-.9676,-1.2267
8.283,50,-.9968,-1.219
8.316,50,-.9608,-1.1985
8.349,50,-.9485,-1.183
8.382,50,-1.0221,-1.1927
8.415,50,-.9919,-1.1927
8.448,50,-.9751,-1.1846
8.481,50,-.9582,-1.1622
8.514,50,-1.0039,-1.2449
8.547,50,-.9747,-1.2015
8.58,50,-.9121,-1.1288
8.613,50,-.9887,-1.1956
8.646,50,-.9906,-1.2585
8.679,50,-.9666,-1.1872
8.712,50,-.9481,-1.2053
8.745,50,-1.0052,-1.2222
8.778,50,-.9494,-1.2456
8.811,50,-.9945,-1.1729
8.844,50,-.9647,-1.1765
8.877,50,-1.0081,-1.2384
8.91,50,-.9598,-1.2173
8.943,50,-.9676,-1.1885
8.976,50,-.9764,-1.1982
9.009,50,-.9978,-1.2495
9.042,50,-.9637,-1.182
9.075,50,-.9511,-1.1998
9.108,50,-.9916,-1.2313
9.141,50,-.9884,-1.1836
9.174,50,-.9533,-1.2099
9.207,50,-.9832,-1.1749
9.24,50,-.9926,-1.2456
9.273,50,-.9708,-1.2034
9.306,50,-.9627,-1.2011
9.339,50,-.9906,-1.2057
9.372,50,-.9854,-1.2021
9.405,50,-.9799,-1.1833
9.438,50,-.9501,-1.1953
9.471,50,-1.0143,-1.2319
9.504,50,-.9903,-1.1609
9.537,50,-.9608,-1.1937
9.57,50,-.9738,-1.2096
9.603,50,-1.0059,-1.2034
9.636,50,-.9569,-1.2057
9.669,50,-.9728,-1.1671
9.702,50,-1.013,-1.1946
9.735,50,-.9913,-1.205
9.768,50,-.9702,-1.1612
9.801,50,-.9699,-1.1654
9.834,50,-.9851,-1.086
9.867,50,-.9543,-1.2011
9.9,50,-1.0451,-1.1054
9.933,50,-.9728,-1.2066
9.966,50,-.9867,-1.099
9.999,50,-.9673,-1.1771
10.032,50,-.9358,-1.0662
10.065,50,-.9942,-1.2135
