Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
27.027,50,-.9835,-1.2173
27.06,50,-.9786,-1.183
27.093,50,-.9618,-1.1719
27.126,50,-.9864,-1.2592
27.159,50,-.9394,-1.1337
27.192,50,-.941,-1.2255
27.225,50,-.9871,-1.1904
27.258,50,-.9751,-1.2589
27.291,50,-.9841,-1.1791
27.324,50,-.9576,-1.1622
27.357,50,-.9903,-1.2261
27.39,50,-.9936,-1.1966
27.423,50,-.9627,-1.192
27.456,50,-.9734,-1.1836
27.489,50,-1.0075,-1.2316
27.522,50,-.9699,-1.2047
27.555,50,-.9598,-1.1781
27.588,50,-.9799,-1.1917
27.621,50,-.9952,-1.2316
27.654,50,-.9627,-1.1768
27.687,50,-.9543,-1.1966
27.72,50,-.9987,-1.2316
27.753,50,-.9832,-1.1878
27.786,50,-.9783,-1.206
27.819,50,-.9783,-1.1807
27.852,50,-.9871,-1.2219
27.885,50,-.9757,-1.2057
27.918,50,-.9734,-1.1616
27.951,50,-.9854,-1.2073
27.984,50,-.9663,-1.2323
28.017,50,-.952,-1.1927
28.05,50,-.9481,-1.1917
28.083,50,-.9757,-1.2397
28.116,50,-.9832,-1.2034
28.149,50,-.966,-1.1914
28.182,50,-.9663,-1.2063
28.215,50,-1.0107,-1.2303
28.248,50,-.9728,-1.1924
28.281,50,-.9614,-1.195
28.314,50,-.9832,-1.2125
28.347,50,-.9864,-1.2219
28.38,50,-.9585,-1.1856
28.413,50,-.9452,-1.1804
28.446,50,-1.0111,-1.2105
28.479,50,-.9864,-1.1979
28.512,50,-.9368,-1.1865
28.545,50,-.9841,-1.2242
28.578,50,-1.013,-1.2258
28.611,50,-.9773,-1.1995
28.644,50,-.9326,-1.1956
28.677,50,-1.0143,-1.1982
28.71,50,-.966,-1.242
28.743,50,-.9676,-1.193
28.776,50,-.9404,-1.2089
28.809,50,-1.0318,-1.2102
28.842,50,-.9796,-1.2044
28.875,50,-.9608,-1.2186
28.908,50,-.9929,-1.2037
28.941,50,-.9851,-1.2598
28.974,50,-.979,-1.194
29.007,50,-.9193,-1.2011
29.04,50,-1.0068,-1.217
29.073,50,-.9524,-1.2387
29.106,50,-.9754,-1.1706
29.139,50,-.9417,-1.2177
29.172,50,-1.0179,-1.2118
29.205,50,-.9488,-1.243
29.238,50,-.9757,-1.1849
29.271,50,-.9851,-1.2144
29.304,50,-.9923,-1.2063
29.337,50,-.9595,-1.1888
29.37,50,-.9511,-1.1813
29.403,50,-1.0279,-1.2355
29.436,50,-.9806,-1.2128
29.469,50,-.9712,-1.1917
29.502,50,-.9511,-1.2024
